variant,accuracy,balanced_accuracy,macro_f1
jaw_axis,0.9346733668341709,0.9330735930735929,0.932630354141982
ref_axis_diagnostic,0.8291457286432161,0.8289177489177488,0.8214692734006246
jaw_ref_axis,0.9547738693467337,0.9468831168831169,0.9488423767871181
rotation_resistant,0.9095477386934674,0.9103463203463203,0.9082594225589121
