time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
251941335,0,1,8,0,0,-832,536,-171,-262,-323,-85,-835,535,-173,-134,-439,-73,0,15,2,4293,live,unknown
251961335,20000,1,8,1,0,-834,529,-168,-12,-293,-110,-829,527,-166,-183,-43,-171,0,15,2,3094,live,unknown
251981334,19999,1,8,2,0,-829,534,-179,-43,-134,-208,-831,531,-189,305,-183,-159,0,15,1,1787,live,unknown
252001335,20001,1,8,3,0,-837,524,-139,439,-6,-165,-831,531,-189,305,-183,-159,0,3,2,8180,live,unknown
252023905,22570,1,8,4,0,-829,543,-167,-238,-458,-18,-831,528,-187,-18,-360,-12,0,15,2572,6154,live,unknown
252044908,21003,1,8,5,0,-835,517,-188,342,-122,-98,-834,516,-173,507,-18,-146,0,15,3575,3950,live,unknown
252063701,18793,1,8,6,0,-830,516,-160,464,-110,-116,-828,515,-159,323,-262,-37,0,15,2368,3957,live,unknown
252082505,18804,1,8,7,0,-830,514,-169,275,-348,31,-835,522,-172,409,-336,61,0,15,1172,3847,live,unknown
252101335,18830,1,8,8,0,-838,533,-170,458,-195,-18,-832,542,-173,568,281,-250,0,15,2,3871,live,unknown
252121334,19999,1,8,9,0,-821,551,-166,708,647,-354,-816,547,-143,513,336,-134,0,15,1,2671,live,unknown
252141334,20000,1,8,10,0,-825,530,-141,-67,-409,256,-841,512,-168,-403,-720,391,0,15,1,1417,live,unknown
252161334,20000,1,8,11,0,-844,516,-176,-24,-92,110,-841,512,-168,-403,-720,391,0,3,1,8137,live,unknown
252183928,22594,1,8,12,0,-830,530,-136,-146,-183,43,-831,534,-140,-433,-641,159,0,15,2595,5745,live,unknown
252204413,20485,1,8,13,0,-838,528,-165,-500,-745,256,-845,520,-182,-238,-372,214,0,15,3080,3969,live,unknown
252223219,18806,1,8,14,0,-846,520,-179,128,116,110,-844,525,-166,391,421,31,0,15,1886,3963,live,unknown
252241792,18573,1,8,15,0,-841,530,-151,415,433,-31,-839,534,-145,238,275,0,0,15,459,4190,live,unknown
252261335,19543,1,8,16,0,-840,532,-151,73,98,98,-845,526,-161,37,31,165,0,15,2,3339,live,unknown
252281335,20000,1,8,17,0,-851,518,-165,98,55,189,-851,513,-162,183,92,128,0,15,2,2195,live,unknown
252301357,20022,1,8,18,0,-849,509,-131,-85,-122,-214,-851,513,-162,183,92,128,0,3,24,8139,live,unknown
252323713,22356,1,8,19,0,-838,537,-156,-494,-519,24,-842,526,-164,-378,-488,24,0,15,2380,6703,live,unknown
252345122,21409,1,8,20,0,-848,520,-165,-256,-427,-122,-845,527,-165,-140,-305,-165,0,15,3789,4095,live,unknown
252364419,19297,1,8,21,0,-839,529,-162,6,-140,-146,-836,525,-153,49,-24,-171,0,15,3086,3597,live,unknown
252382413,17994,1,8,22,0,-837,520,-144,-49,-92,-183,-841,518,-143,-208,-281,-171,0,15,1080,4315,live,unknown
252401631,19218,1,8,23,0,-845,517,-151,-323,-385,-146,-845,514,-156,-336,-336,-171,0,15,298,3962,live,unknown
252421334,19703,1,8,24,0,-843,513,-157,-208,-214,-226,-843,514,-152,-31,-122,-269,0,15,1,2994,live,unknown
252441334,20000,1,8,25,0,-843,514,-148,61,-122,-323,-837,517,-151,-6,-128,-348,0,15,1,1794,live,unknown
252461335,20001,1,8,26,0,-840,505,-129,61,110,-360,-837,517,-151,-6,-128,-348,0,3,2,8188,live,unknown
252483892,22557,1,8,27,0,-839,511,-133,-775,146,-195,-850,517,-171,-562,85,-98,0,15,2559,6067,live,unknown
252504801,20909,1,8,28,0,-859,515,-180,189,128,-140,-851,522,-157,531,232,-201,0,15,3468,3957,live,unknown
252523605,18804,1,8,29,0,-842,537,-138,281,171,-195,-841,537,-143,-104,-55,-153,0,15,2272,3954,live,unknown
252542492,18887,1,8,30,0,-845,519,-164,-159,-165,-134,-849,501,-179,98,-12,-165,0,15,1159,3758,live,unknown
252561335,18843,1,8,31,0,-850,495,-173,403,250,-208,-846,500,-153,482,378,-226,0,15,2,3771,live,unknown
252581334,19999,1,8,32,0,-841,509,-136,317,287,-208,-838,516,-134,24,110,-165,0,15,1,2517,live,unknown
252601335,20001,1,8,33,0,-837,518,-142,-159,-12,-122,-840,518,-151,-153,-67,-98,0,15,2,1314,live,unknown
252621335,20000,1,8,34,0,-840,518,-150,-104,-37,-79,-840,518,-151,-153,-67,-98,0,3,2,8145,live,unknown
252643936,22601,1,8,35,0,-839,518,-150,-323,-110,18,-843,513,-159,-311,-146,18,0,15,2603,5635,live,unknown
252664113,20177,1,8,36,0,-845,508,-164,-171,-31,-37,-846,509,-160,-24,110,-73,0,15,2780,4169,live,unknown
252682913,18800,1,8,37,0,-844,515,-153,-12,134,-79,-842,521,-150,-73,-31,-61,0,15,1580,4169,live,unknown
252701693,18780,1,8,38,0,-845,520,-149,-122,-232,-55,-847,512,-145,-189,-262,-61,0,15,360,4189,live,unknown
252721335,19642,1,8,39,0,-844,502,-139,-311,-85,-61,-844,505,-148,-604,12,-49,0,15,2,3294,live,unknown
252741334,19999,1,8,40,0,-849,513,-172,-354,-110,-12,-852,508,-168,146,79,-24,0,15,1,2137,live,unknown
252761335,20001,1,8,41,0,-844,530,-123,-183,195,-67,-852,508,-168,146,79,-24,0,3,2,8176,live,unknown
252783611,22276,1,8,42,0,-848,515,-152,-458,-226,67,-852,505,-168,-299,-49,31,0,15,2278,6732,live,unknown
252805022,21411,1,8,43,0,-851,504,-168,-49,177,-55,-847,509,-156,128,220,-122,0,15,3689,4053,live,unknown
252823719,18697,1,8,44,0,-843,513,-147,153,110,-110,-840,516,-144,85,-24,-67,0,15,2386,4098,live,unknown
252842213,18494,1,8,45,0,-840,519,-146,-18,-92,-43,-841,519,-150,-61,-67,-55,0,15,880,4401,live,unknown
252861335,19122,1,8,46,0,-844,518,-149,-73,-18,-85,-844,517,-144,-146,-37,-85,0,15,2,4082,live,unknown
252881335,20000,1,8,47,0,-843,517,-143,-244,-134,-67,-843,516,-147,-287,-220,-61,0,15,2,2859,live,unknown
252901334,19999,1,8,48,0,-842,516,-154,-256,-214,-61,-842,518,-158,-165,-98,-73,0,15,1,1671,live,unknown
252921335,20001,1,8,49,0,-844,518,-147,-49,-6,-85,-842,518,-158,-165,-98,-73,0,3,2,8151,live,unknown
252943692,22357,1,8,50,1,-844,517,-147,-348,-201,-92,-845,515,-151,-342,-220,-79,0,15,2359,6635,live,unknown
252983701,40009,1,8,51,1,-844,515,-152,-250,-220,-61,-843,517,-152,-146,-165,-55,0,15,22368,3748,live,unknown
253022515,38814,1,8,52,1,-845,518,-148,116,67,-67,-845,516,-145,189,92,-61,0,15,2,2434,live,unknown
253042515,20000,1,8,53,1,-845,516,-142,177,79,-43,-844,517,-143,189,92,-61,0,7,2,8012,live,unknown
253064410,21895,1,8,54,1,-844,515,-145,37,-67,-37,-843,517,-144,12,-98,-43,0,15,1897,7480,live,unknown
253086301,21891,1,8,55,1,-844,518,-146,-37,-134,-31,-847,516,-151,-31,-140,-43,0,15,3788,4390,live,unknown
253105313,19012,1,8,56,1,-847,513,-155,37,-61,-85,-846,514,-154,146,79,-146,0,15,2800,4178,live,unknown
253123992,18679,1,8,57,1,-843,517,-148,232,146,-165,-841,518,-141,220,110,-140,0,15,1479,4191,live,unknown
253142813,18821,1,8,58,1,-841,518,-137,104,6,-85,-840,518,-140,24,-104,-37,0,15,300,4169,live,unknown
253162556,19743,1,8,59,1,-838,517,-150,-31,-159,-12,-839,512,-156,24,-61,-43,0,15,43,3175,live,unknown
253182515,19959,1,8,60,1,-844,504,-141,201,165,-122,-843,504,-117,55,330,-122,0,15,2,1959,live,unknown
253202514,19999,1,8,61,1,-839,524,-158,-720,275,122,-843,504,-117,55,330,-122,0,3,1,8141,live,unknown
253225026,22512,1,8,62,1,-853,525,-161,488,342,73,-845,535,-135,360,262,73,0,15,2513,6389,live,unknown
253245613,20587,1,8,63,1,-842,538,-133,-159,24,153,-849,523,-158,-403,-159,183,0,15,3100,4601,live,unknown
253264919,19306,1,8,64,1,-854,505,-181,-146,-85,104,-852,500,-181,244,201,6,0,15,2406,4098,live,unknown
253283413,18494,1,8,65,1,-845,507,-160,391,360,-12,-838,516,-141,250,262,31,0,15,900,4402,live,unknown
253302515,19102,1,8,66,1,-834,520,-137,43,79,79,-836,520,-145,-31,-31,104,0,15,2,4081,live,unknown
253322514,19999,1,8,67,1,-841,520,-153,6,-31,104,-846,520,-153,12,37,85,0,15,1,2879,live,unknown
253342515,20001,1,8,68,1,-845,522,-147,-43,122,55,-839,526,-141,-208,201,67,0,15,2,1677,live,unknown
253362515,20000,1,8,69,1,-838,525,-153,-421,220,177,-839,526,-141,-208,201,67,0,3,2,8171,live,unknown
253384913,22398,1,8,70,1,-844,512,-162,-195,452,116,-842,516,-157,-128,549,73,0,15,2400,6152,live,unknown
253405892,20979,1,8,71,1,-841,523,-153,-134,476,85,-841,527,-151,-122,323,122,0,15,3379,3867,live,unknown
253424581,18689,1,8,72,1,-844,526,-149,-189,262,92,-847,521,-141,-305,342,24,0,15,2068,3977,live,unknown
253443131,18550,1,8,73,1,-846,518,-142,-586,391,-31,-844,524,-165,-616,177,-31,0,15,618,4182,live,unknown
253462514,19383,1,8,74,1,-843,522,-179,-183,116,-12,-840,514,-158,183,421,-31,0,15,1,3544,live,unknown
253482514,20000,1,8,75,1,-834,524,-132,61,452,-55,-829,538,-132,-269,183,-43,0,15,1,2344,live,unknown
253502515,20001,1,8,76,1,-831,532,-150,-287,171,-43,-837,518,-168,-269,183,-43,0,7,2,8024,live,unknown
253524931,22416,1,8,77,1,-846,508,-183,153,433,-73,-842,503,-176,403,360,-31,0,15,2418,6814,live,unknown
253546195,21264,1,8,78,1,-834,506,-165,531,372,-43,-829,518,-157,598,281,-37,0,15,3682,4426,live,unknown
253565013,18818,1,8,79,1,-812,531,-155,647,195,49,-799,544,-163,574,323,262,0,15,2500,4278,live,unknown
253583792,18779,1,8,80,1,-809,562,-156,1001,-317,159,-737,595,-90,1727,-55,-397,0,15,1279,4300,live,unknown
253602813,19021,1,8,81,1,-607,657,-36,-250,2600,104,-634,691,-72,-2368,3021,1819,0,15,300,4078,live,unknown
253622514,19701,1,8,82,1,-787,631,-143,-1727,934,3265,-929,498,-212,-763,-818,3906,0,15,1,3177,live,unknown
253642515,20001,1,8,83,1,-1038,365,-275,-519,-1117,3223,-1063,323,-300,-647,409,1514,0,15,2,1974,live,unknown
253662515,20000,1,8,84,1,-820,501,-190,-494,3717,458,-1063,323,-300,-647,409,1514,0,3,2,8156,live,unknown
253685492,22977,1,8,85,1,-769,595,-106,311,739,1544,-809,582,-143,250,-1154,1312,0,15,2979,5852,live,unknown
253706242,20750,1,8,86,1,-835,568,-192,-85,-1324,818,-833,576,-208,-391,-281,421,0,15,3729,3901,live,unknown
