time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
889111918,0,1,48,0,0,-913,279,-289,-49,568,85,-910,293,-277,67,-55,-122,0,3,2,8138,live,unknown
889134103,22185,1,48,1,0,-913,281,-293,-128,574,-49,-910,283,-288,-153,470,-134,0,15,2187,6065,live,unknown
889155327,21224,1,48,2,0,-905,287,-286,-92,385,-250,-903,295,-288,-104,354,-360,0,15,3411,3694,live,unknown
889174124,18797,1,48,3,0,-907,303,-290,-98,323,-391,-908,305,-291,-37,238,-366,0,15,2208,3588,live,unknown
889192707,18583,1,48,4,0,-905,301,-297,-61,238,-372,-750,509,-822,4883,2191,-171,0,15,791,3804,live,unknown
889211918,19211,1,48,5,0,-728,407,-642,11743,5536,-159,-946,114,53,-7220,-5334,-1111,0,15,2,3390,live,unknown
889231918,20000,1,48,6,0,-1002,215,-103,-7147,-6836,-1367,-987,268,-194,-1013,-3485,-1050,0,15,2,2142,live,unknown
889251918,20000,1,48,7,0,-1069,304,-405,-4095,31,3101,-987,268,-194,-1013,-3485,-1050,0,3,2,8156,live,unknown
889275342,23424,1,48,8,0,-930,322,-153,-4358,55,3223,-892,325,-204,-1971,604,1678,0,15,3426,5656,live,unknown
889296238,20896,1,48,9,0,-876,326,-231,-1154,769,1343,-852,282,-260,-391,226,1318,0,15,4322,3534,live,unknown
889315038,18800,1,48,10,0,-836,259,-286,-238,-354,812,-858,274,-298,-739,-714,525,0,15,3122,3534,live,unknown
889333838,18800,1,48,11,0,-894,288,-297,-964,-1105,818,-918,284,-290,-1178,-1587,1086,0,15,1922,3535,live,unknown
889353002,19164,1,48,12,0,-915,297,-282,-1556,-2002,1190,-893,322,-279,-2020,-2191,1147,0,15,1086,3038,live,unknown
889371918,18916,1,48,13,0,-878,335,-272,-2710,-2100,1019,-875,336,-260,-3687,-2057,1074,0,15,2,2921,live,unknown
