time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
143941415,0,1,8,0,0,-932,160,-219,159,-293,-739,-964,160,-196,-92,-6,12,0,3,1,8149,live,unknown
143963388,21973,1,8,1,0,-938,173,-224,287,-470,-659,-940,186,-225,366,-385,-616,0,15,1974,6396,live,unknown
143984613,21225,1,8,2,0,-941,195,-221,378,-330,-549,-944,199,-215,256,-323,-458,0,15,3199,3969,live,unknown
144003413,18800,1,8,3,0,-946,197,-213,122,-305,-372,-947,190,-210,0,-293,-299,0,15,1999,3968,live,unknown
144022013,18600,1,8,4,0,-947,181,-208,-128,-330,-256,-948,174,-210,-189,-354,-238,0,15,599,4169,live,unknown
144041415,19402,1,8,5,0,-950,170,-213,-195,-366,-208,-951,170,-216,-195,-385,-183,0,15,1,3517,live,unknown
144061416,20001,1,8,6,0,-951,176,-219,-226,-366,-171,-953,183,-218,-177,-299,-159,0,15,2,2314,live,unknown
144081415,19999,1,8,7,0,-956,189,-214,6,-177,-104,-959,188,-210,-177,-299,-159,0,7,1,8065,live,unknown
144103788,22373,1,8,8,0,-967,171,-206,98,-159,-226,-969,165,-202,183,-146,-354,0,15,2374,6826,live,unknown
144125313,21525,1,8,9,0,-969,166,-196,275,-122,-452,-966,170,-189,305,-85,-500,0,15,3899,4082,live,unknown
144144013,18700,1,8,10,0,-966,171,-184,317,-79,-531,-966,168,-183,348,-92,-543,0,15,2599,4201,live,unknown
144162813,18800,1,8,11,0,-964,161,-183,372,-116,-519,-960,153,-184,354,-159,-482,0,15,1399,4115,live,unknown
144181828,19015,1,8,12,0,-959,149,-188,311,-195,-476,-962,151,-197,317,-159,-482,0,15,414,3848,live,unknown
144201415,19587,1,8,13,0,-964,158,-204,342,-98,-494,-964,165,-205,372,-85,-537,0,15,1,3113,live,unknown
144221416,20001,1,8,14,0,-961,172,-204,439,-104,-592,-954,174,-204,549,-104,-592,0,15,2,1913,live,unknown
144241415,19999,1,8,15,0,-946,161,-203,726,-79,-500,-954,174,-204,549,-104,-592,0,3,1,8147,live,unknown
144264181,22766,1,8,16,0,-942,151,-193,665,-140,-543,-947,153,-193,763,-110,-494,0,15,2767,5968,live,unknown
144284182,20001,1,8,17,0,-955,148,-195,922,-37,-409,-960,141,-198,848,6,-385,0,15,2768,4824,live,unknown
144303617,19435,1,8,18,0,-961,140,-194,659,104,-366,-961,139,-183,531,146,-330,0,15,2203,4081,live,unknown
144322529,18912,1,8,19,0,-961,138,-174,458,61,-311,-963,137,-173,519,-49,-293,0,15,1115,3967,live,unknown
144341456,18927,1,8,20,0,-967,138,-176,641,-183,-220,-968,136,-180,659,-311,-159,0,15,42,3842,live,unknown
144361416,19960,1,8,21,0,-967,134,-181,555,-378,-165,-968,132,-172,281,-446,-214,0,15,2,2626,live,unknown
144381416,20000,1,8,22,0,-971,128,-162,-43,-427,-299,-974,122,-170,-330,-256,-439,0,15,2,1428,live,unknown
144401416,20000,1,8,23,0,-985,123,-183,159,-201,-513,-974,122,-170,-330,-256,-439,0,3,2,8148,live,unknown
144424381,22965,1,8,24,0,-977,143,-181,-287,-647,-360,-972,148,-202,-537,-397,-421,0,15,2967,5403,live,unknown
144444919,20538,1,8,25,0,-970,141,-209,-427,-37,-403,-970,126,-200,-317,31,-366,0,15,3505,3555,live,unknown
144463316,18397,1,8,26,0,-968,122,-190,-342,-165,-348,-967,129,-187,-287,-293,-342,0,15,1902,3958,live,unknown
144482315,18999,1,8,27,0,-964,138,-186,-293,-281,-317,-960,141,-184,-488,-183,-262,0,15,901,3760,live,unknown
144501415,19100,1,8,28,0,-959,136,-180,-635,-122,-238,-958,128,-176,-635,-165,-250,0,15,1,3411,live,unknown
144521416,20001,1,8,29,0,-954,122,-176,-635,-244,-275,-945,118,-183,-726,-281,-281,0,15,2,2205,live,unknown
144541415,19999,1,8,30,0,-937,113,-196,-867,-18,-415,-937,114,-196,-726,-281,-281,0,7,1,8065,live,unknown
144564013,22598,1,8,31,0,-943,120,-191,-659,134,-470,-945,116,-192,-397,238,-519,0,15,2599,6515,live,unknown
144585419,21406,1,8,32,0,-952,117,-192,-177,305,-543,-963,126,-195,-134,293,-488,0,15,4005,3856,live,unknown
144604019,18600,1,8,33,0,-972,137,-201,-250,287,-446,-975,151,-193,-391,366,-378,0,15,2605,4109,live,unknown
144623031,19012,1,8,34,0,-975,156,-175,-500,385,-256,-976,145,-175,-677,336,-226,0,15,1617,3844,live,unknown
144641731,18700,1,8,35,0,-981,130,-190,-415,220,-177,-981,123,-195,-293,122,-12,0,15,317,3889,live,unknown
144661416,19685,1,8,36,0,-979,124,-183,-513,-18,98,-982,132,-184,-647,-177,85,0,15,2,3004,live,unknown
144681416,20000,1,8,37,0,-983,137,-199,-409,-67,73,-983,131,-201,-85,140,73,0,15,2,1756,live,unknown
144701415,19999,1,8,38,0,-977,122,-183,-73,-61,85,-983,131,-201,-85,140,73,0,3,1,8172,live,unknown
144723510,22095,1,8,39,0,-972,122,-186,171,-104,73,-972,123,-187,293,-128,55,0,15,2096,6533,live,unknown
144744413,20903,1,8,40,0,-971,126,-188,360,-153,31,-970,130,-187,397,-177,6,0,15,2999,4428,live,unknown
144763213,18800,1,8,41,0,-969,135,-188,409,-189,-12,-967,141,-190,397,-189,-18,0,15,1799,4428,live,unknown
144782213,19000,1,8,42,0,-964,145,-190,330,-177,6,-963,144,-190,262,-165,18,0,15,799,4158,live,unknown
