time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
479177918,0,1,18,0,0,-970,14,-205,-537,-171,-73,-978,85,-198,-31,73,12,0,3,2,8026,live,unknown
479199415,21497,1,18,1,0,-969,8,-202,-372,-171,-43,-972,17,-203,-330,-122,-24,0,15,1499,6972,live,unknown
479221094,21679,1,18,2,0,-978,32,-204,-317,-134,18,-983,46,-202,-305,-189,61,0,15,3178,4092,live,unknown
479239983,18889,1,18,3,0,-987,53,-198,-317,-244,92,-988,54,-193,-299,-317,122,0,15,2067,3994,live,unknown
479258880,18897,1,18,4,0,-987,49,-190,-305,-403,159,-983,42,-195,-342,-458,165,0,15,964,3887,live,unknown
479277918,19038,1,18,5,0,-977,35,-202,-305,-427,134,-971,33,-206,-189,-391,134,0,15,2,3542,live,unknown
479297918,20000,1,18,6,0,-969,34,-208,-37,-348,177,-973,36,-203,116,-275,226,0,15,2,2340,live,unknown
479317917,19999,1,18,7,0,-980,38,-187,183,-281,244,-984,36,-168,116,-275,226,0,7,1,8081,live,unknown
479340113,22196,1,18,8,0,-978,19,-138,-67,-470,153,-978,19,-167,12,-531,110,0,15,2197,7061,live,unknown
479361785,21672,1,18,9,0,-979,25,-211,323,-195,165,-979,22,-196,458,195,220,0,15,3869,4211,live,unknown
479380680,18895,1,18,10,0,-986,27,-153,421,-55,177,-987,48,-161,281,-385,85,0,15,2764,3998,live,unknown
479399221,18541,1,18,11,0,-983,62,-189,281,-122,55,-983,60,-193,275,122,128,0,15,1305,4312,live,unknown
479418194,18973,1,18,12,0,-980,49,-186,195,146,165,-975,39,-178,269,104,128,0,15,278,4079,live,unknown
479437917,19723,1,18,13,0,-974,33,-172,372,43,98,-975,34,-174,372,85,116,0,15,1,3161,live,unknown
479457957,20040,1,18,14,0,-975,39,-176,281,171,140,-976,41,-177,165,177,116,0,15,41,1872,live,unknown
479477918,19961,1,18,15,0,-972,36,-188,140,195,-31,-976,41,-177,165,177,116,0,3,2,8025,live,unknown
479500093,22175,1,18,16,0,-971,33,-192,140,311,-18,-971,38,-187,116,287,6,0,15,2177,6681,live,unknown
479521097,21004,1,18,17,0,-970,42,-186,43,256,-18,-972,41,-188,-6,226,-85,0,15,3181,4478,live,unknown
479539894,18797,1,18,18,0,-976,42,-190,-12,201,-67,-979,42,-190,-73,214,-37,0,15,1978,4482,live,unknown
479558813,18919,1,18,19,0,-984,46,-186,-122,183,-31,-987,49,-184,-183,92,-18,0,15,897,4189,live,unknown
479577917,19104,1,18,20,0,-986,48,-185,-281,12,-12,-985,45,-187,-354,-49,12,0,15,1,3856,live,unknown
479597918,20001,1,18,21,0,-984,41,-190,-378,-98,49,-983,41,-194,-421,-122,73,0,15,2,2711,live,unknown
479617917,19999,1,18,22,0,-983,41,-196,-464,-140,92,-982,41,-195,-458,-159,104,0,15,1,1455,live,unknown
479637918,20001,1,18,23,0,-981,45,-190,-311,-146,153,-982,41,-195,-458,-159,104,0,3,2,8053,live,unknown
479660413,22495,1,18,24,0,-979,48,-181,-159,-177,244,-978,50,-179,-116,-177,293,0,15,2497,5941,live,unknown
479681394,20981,1,18,25,0,-978,52,-175,-110,-153,323,-977,54,-171,-128,-153,336,0,15,3478,3654,live,unknown
479699991,18597,1,18,26,0,-976,53,-170,-153,-189,330,-974,53,-169,-134,-189,305,0,15,2075,3863,live,unknown
479718894,18903,1,18,27,0,-973,55,-169,-92,-195,305,-972,56,-169,-37,-226,311,0,15,978,3765,live,unknown
479737917,19023,1,18,28,0,-971,56,-172,-12,-256,293,-971,54,-174,-18,-275,256,0,15,1,3431,live,unknown
479757917,20000,1,18,29,0,-970,52,-176,-49,-244,226,-968,51,-178,-73,-189,201,0,15,1,2230,live,unknown
479777917,20000,1,18,30,0,-968,53,-181,43,-73,183,-969,57,-184,-73,-189,201,0,7,1,8081,live,unknown
479800221,22304,1,18,31,0,-972,58,-184,134,67,165,-974,58,-179,79,98,159,0,15,2305,6766,live,unknown
479821217,20996,1,18,32,0,-975,63,-177,73,73,159,-976,70,-179,140,43,189,0,15,3301,4568,live,unknown
479840021,18804,1,18,33,0,-977,72,-181,134,92,195,-976,63,-167,67,195,122,0,15,2105,4564,live,unknown
479859025,19004,1,18,34,0,-973,58,-140,-31,104,31,-974,65,-165,-226,43,31,0,15,1109,4309,live,unknown
479877957,18932,1,18,35,0,-982,64,-216,67,464,73,-987,60,-201,208,720,146,0,15,41,4173,live,unknown
