time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
638097430,0,1,39,0,0,-985,185,-129,-421,-366,-891,-977,122,-143,-116,-140,61,0,3,1,8006,live,unknown
638119848,22418,1,39,1,0,-972,165,-89,-983,-537,-818,-971,159,-116,-1062,-757,-726,0,15,2419,5765,live,unknown
638141034,21186,1,39,2,0,-974,147,-170,-647,-555,-647,-973,137,-181,-323,-122,-555,0,15,3605,3444,live,unknown
638159831,18797,1,39,3,0,-976,142,-149,-354,-31,-439,-981,153,-130,-311,-238,-366,0,15,2402,3447,live,unknown
638178631,18800,1,39,4,0,-981,158,-141,-116,-238,-366,-978,155,-156,49,-43,-385,0,15,1202,3283,live,unknown
638197430,18799,1,39,5,0,-976,151,-155,110,61,-360,-973,150,-146,153,43,-317,0,15,1,3283,live,unknown
638217430,20000,1,39,6,0,-972,151,-137,214,6,-293,-971,152,-133,244,-49,-293,0,15,1,2043,live,unknown
638237431,20001,1,39,7,0,-971,156,-138,275,-153,-311,-971,152,-133,244,-49,-293,0,3,2,8093,live,unknown
638260436,23005,1,39,8,0,-975,153,-140,336,-201,-293,-975,151,-138,299,-226,-305,0,15,3007,6087,live,unknown
638281632,21196,1,39,9,0,-975,154,-135,220,-293,-311,-975,155,-135,171,-366,-323,0,15,4203,3581,live,unknown
638300311,18679,1,39,10,0,-976,153,-140,189,-397,-348,-975,150,-143,232,-372,-366,0,15,2882,3752,live,unknown
638319436,19125,1,39,11,0,-972,148,-142,226,-336,-378,-971,145,-140,238,-323,-348,0,15,2007,3375,live,unknown
638338015,18579,1,39,12,0,-974,141,-141,305,-330,-317,-976,138,-143,415,-323,-305,0,15,586,3542,live,unknown
638357431,19416,1,39,13,0,-975,136,-138,427,-281,-293,-972,133,-124,262,-238,-262,0,15,2,2927,live,unknown
638377458,20027,1,39,14,0,-969,130,-119,98,-262,-250,-972,126,-146,348,-269,-189,0,15,29,1706,live,unknown
638397431,19973,1,39,15,0,-974,115,-139,610,281,-92,-972,126,-146,348,-269,-189,0,3,2,8072,live,unknown
638420241,22810,1,39,16,0,-984,137,-122,659,-146,-104,-978,139,-143,702,-37,-122,0,15,2812,5711,live,unknown
638441143,20902,1,39,17,0,-975,138,-147,653,104,-116,-977,137,-141,641,134,-110,0,15,3714,3719,live,unknown
638459927,18784,1,39,18,0,-981,135,-136,696,92,-116,-981,132,-135,708,37,-128,0,15,2498,3567,live,unknown
