time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
626547027,0,1,37,0,0,-980,19,-133,-653,-598,-378,-980,20,-143,-543,-214,-421,0,15,2,4736,live,unknown
626567027,20000,1,37,1,0,-985,18,-133,-446,85,-446,-992,15,-111,-275,-24,-439,0,15,2,3536,live,unknown
626587027,20000,1,37,2,0,-993,9,-101,-37,-360,-537,-980,4,-92,122,-525,-763,0,15,2,2336,live,unknown
626607027,20000,1,37,3,0,-972,-1,-80,256,-1013,-1068,-990,13,-97,122,-525,-763,0,7,2,8079,live,unknown
626629807,22780,1,37,4,0,-986,22,-110,-104,-586,-464,-985,13,-90,330,-677,-586,0,15,2782,6454,live,unknown
626651138,21331,1,37,5,0,-991,19,-69,592,-891,-568,-986,3,-62,568,-1172,-732,0,15,4113,3936,live,unknown
626669615,18477,1,37,6,0,-990,-4,-66,549,-1227,-952,-997,4,-61,427,-1154,-861,0,15,2590,4134,live,unknown
626688727,19112,1,37,7,0,-990,-5,-56,238,-1196,-812,-981,-15,-60,256,-1221,-903,0,15,1702,3825,live,unknown
626707727,19000,1,37,8,0,-975,-17,-69,372,-1154,-922,-976,-21,-74,446,-995,-861,0,15,702,3569,live,unknown
626727027,19300,1,37,9,0,-980,-24,-73,531,-842,-757,-981,-23,-69,586,-696,-708,0,15,2,3065,live,unknown
626747027,20000,1,37,10,0,-982,-15,-64,525,-580,-684,-979,-3,-61,354,-482,-610,0,15,2,1813,live,unknown
626767027,20000,1,37,11,0,-971,4,-54,293,-470,-433,-979,-3,-61,354,-482,-610,0,3,2,8097,live,unknown
626789541,22514,1,37,12,0,-972,-6,-51,360,-403,-287,-974,-16,-48,372,-330,-299,0,15,2516,6303,live,unknown
626810741,21200,1,37,13,0,-978,-27,-46,317,-250,-348,-982,-38,-43,244,-214,-415,0,15,3716,3853,live,unknown
626829641,18900,1,37,14,0,-986,-50,-42,220,-269,-507,-986,-53,-45,354,-262,-610,0,15,2616,3753,live,unknown
626848431,18790,1,37,15,0,-983,-52,-55,464,-226,-592,-979,-51,-60,391,-31,-616,0,15,1406,3703,live,unknown
626867034,18603,1,37,16,0,-978,-40,-54,238,31,-604,-981,-27,-53,195,-31,-543,0,15,9,3900,live,unknown
626887027,19993,1,37,17,0,-984,-18,-60,195,-31,-494,-991,-15,-68,183,55,-470,0,15,2,2708,live,unknown
626907027,20000,1,37,18,0,-1002,-19,-73,146,165,-415,-1011,-26,-73,67,201,-366,0,15,2,1507,live,unknown
626927057,20030,1,37,19,0,-1007,-27,-68,-134,189,-421,-1011,-26,-73,67,201,-366,0,3,32,8089,live,unknown
626949834,22777,1,37,20,0,-992,-10,-64,-311,244,-348,-985,-16,-55,-494,293,-269,0,15,2809,5537,live,unknown
626970415,20581,1,37,21,0,-975,-26,-45,-696,269,-232,-969,-33,-65,-775,281,-214,0,15,3390,3757,live,unknown
626989215,18800,1,37,22,0,-974,-45,-95,-500,470,-220,-977,-52,-89,-360,671,-195,0,15,2190,3757,live,unknown
627008015,18800,1,37,23,0,-977,-45,-71,-476,592,-128,-979,-32,-77,-537,464,-73,0,15,990,3646,live,unknown
627027027,19012,1,37,24,0,-979,-27,-96,-488,562,-67,-981,-27,-111,-348,745,-67,0,15,2,3536,live,unknown
627047027,20000,1,37,25,0,-986,-27,-114,-232,806,-24,-992,-31,-109,-183,696,24,0,15,2,2225,live,unknown
627067027,20000,1,37,26,0,-1002,-36,-109,-61,494,-24,-1011,-37,-115,-183,696,24,0,7,2,8078,live,unknown
627089807,22780,1,37,27,0,-1010,-22,-112,110,696,-165,-1004,-13,-100,256,623,-159,0,15,2782,6454,live,unknown
627111540,21733,1,37,28,0,-996,-7,-89,409,427,-116,-987,-7,-85,458,281,-85,0,15,4515,3353,live,unknown
627129700,18160,1,37,29,0,-982,-4,-80,415,220,-49,-982,0,-73,348,116,67,0,15,2675,3984,live,unknown
627148032,18332,1,37,30,0,-987,-5,-75,293,31,159,-994,-14,-82,293,18,189,0,15,1007,4451,live,unknown
627167027,18995,1,37,31,0,-999,-23,-83,311,61,183,-1001,-34,-80,330,67,122,0,15,2,4260,live,unknown
627187057,20030,1,37,32,0,-1001,-36,-76,366,6,79,-1000,-29,-77,354,-110,110,0,15,32,2971,live,unknown
627207026,19969,1,37,33,0,-999,-16,-81,311,-214,201,-997,-10,-82,183,-262,305,0,15,1,1802,live,unknown
627227027,20001,1,37,34,0,-992,-13,-69,0,-568,378,-997,-10,-82,183,-262,305,0,3,2,8086,live,unknown
627249417,22390,1,37,35,0,-995,-25,-109,244,-256,415,-993,-20,-79,-31,-244,403,0,15,2392,6310,live,unknown
627270631,21214,1,37,36,0,-993,-10,-79,-18,-482,397,-991,-9,-104,73,-397,323,0,15,3606,3950,live,unknown
627289215,18584,1,37,37,0,-988,-6,-118,67,-61,244,-987,2,-113,-6,183,244,0,15,2190,4112,live,unknown
627307704,18489,1,37,38,0,-986,11,-99,-55,238,281,-986,14,-90,-55,146,336,0,15,679,4309,live,unknown
627327027,19323,1,37,39,0,-985,13,-90,-73,37,378,-985,12,-94,-153,-31,403,0,15,2,3788,live,unknown
627347027,20000,1,37,40,0,-986,10,-96,-250,-37,403,-986,5,-94,-269,-37,366,0,15,2,2586,live,unknown
627367026,19999,1,37,41,0,-986,3,-88,-232,-79,323,-984,4,-85,-189,-201,354,0,15,1,1347,live,unknown
627387026,20000,1,37,42,0,-983,5,-83,-293,-299,470,-984,4,-85,-189,-201,354,0,3,1,8109,live,unknown
627409409,22383,1,37,43,0,-985,10,-83,-500,-366,531,-990,8,-88,-452,-366,531,0,15,2384,5952,live,unknown
627430145,20736,1,37,44,0,-991,6,-93,-385,-330,476,-990,8,-96,-360,-287,446,0,15,3120,3966,live,unknown
627448834,18689,1,37,45,0,-989,10,-95,-433,-232,464,-989,13,-92,-488,-189,500,0,15,1809,4075,live,unknown
627467917,19083,1,37,46,0,-992,16,-93,-397,-214,525,-993,18,-95,-281,-250,513,0,15,892,3625,live,unknown
627487027,19110,1,37,47,0,-993,16,-97,-250,-250,494,-992,14,-97,-256,-201,476,0,15,2,3383,live,unknown
627507027,20000,1,37,48,0,-991,15,-95,-256,-110,458,-990,17,-91,-311,18,439,0,15,2,2180,live,unknown
627527027,20000,1,37,49,0,-988,18,-82,-476,183,391,-990,17,-91,-311,18,439,0,3,2,8135,live,unknown
627549336,22309,1,37,50,1,-992,26,-100,-391,189,452,-993,26,-97,-439,287,439,0,15,2311,4713,live,unknown
627589818,40482,1,37,51,1,-995,25,-90,-409,336,397,-994,23,-86,-330,287,354,0,15,22793,3900,live,unknown
627628798,38980,1,37,52,1,-993,28,-94,-433,238,299,-995,29,-93,-415,214,293,0,15,2,2411,live,unknown
