time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
257944857,0,1,9,0,0,-830,521,-213,-317,-208,-153,-833,513,-214,140,-6,-262,0,15,45,8243,live,unknown
257967115,22258,1,9,1,0,-828,519,-197,378,85,-311,-822,531,-181,342,6,-287,0,15,2303,4730,live,unknown
257986115,19000,1,9,2,0,-819,539,-175,195,-140,-214,-820,542,-178,104,-232,-165,0,15,1303,4530,live,unknown
258005528,19413,1,9,3,0,-823,545,-183,104,-250,-128,-823,548,-184,128,-208,-79,0,15,716,3845,live,unknown
258024813,19285,1,9,4,0,-823,549,-180,134,-159,-18,-822,545,-179,128,-177,49,0,15,1,3302,live,unknown
258044814,20001,1,9,5,0,-821,541,-179,177,-177,92,-823,544,-177,189,-134,37,0,15,2,2083,live,unknown
258064813,19999,1,9,6,0,-825,549,-186,140,281,-195,-823,544,-177,189,-134,37,0,3,1,8168,live,unknown
258087228,22415,1,9,7,0,-821,533,-169,269,-55,-18,-830,523,-175,55,-391,189,0,15,2416,6586,live,unknown
258108315,21087,1,9,8,0,-846,512,-177,-31,-415,98,-851,517,-162,-220,-439,-128,0,15,3503,4302,live,unknown
258127580,19265,1,9,9,0,-843,526,-151,-415,-391,-275,-833,535,-148,-604,-391,-323,0,15,2768,3770,live,unknown
258146487,18907,1,9,10,0,-830,542,-156,-732,-555,-220,-838,537,-177,-592,-647,-98,0,15,1675,3658,live,unknown
258164814,18327,1,9,11,0,-848,525,-195,-208,-415,-79,-851,519,-196,214,55,-153,0,15,2,4130,live,unknown
258184814,20000,1,9,12,0,-849,519,-184,568,494,-238,-846,522,-166,775,653,-275,0,15,2,2857,live,unknown
258204814,20000,1,9,13,0,-842,522,-155,757,543,-256,-841,521,-157,623,366,-244,0,15,2,1651,live,unknown
258224857,20043,1,9,14,0,-841,523,-162,439,244,-311,-841,521,-157,623,366,-244,0,3,45,8140,live,unknown
258247415,22558,1,9,15,0,-841,525,-147,-37,-250,-354,-842,518,-155,-220,-421,-354,0,15,2603,5961,live,unknown
258268415,21000,1,9,16,0,-845,511,-161,-317,-513,-397,-848,506,-170,-342,-494,-500,0,15,3603,3760,live,unknown
258287215,18800,1,9,17,0,-847,506,-174,-269,-354,-647,-842,511,-170,-189,-183,-671,0,15,2403,3760,live,unknown
258306015,18800,1,9,18,0,-836,516,-159,-171,-153,-592,-835,516,-152,-275,-275,-476,0,15,1203,3653,live,unknown
258324814,18799,1,9,19,0,-836,514,-153,-348,-427,-421,-835,515,-165,-409,-500,-366,0,15,2,3655,live,unknown
258344814,20000,1,9,20,0,-835,512,-179,-177,-348,-311,-841,500,-168,256,43,-305,0,15,2,2452,live,unknown
258364814,20000,1,9,21,0,-842,493,-141,311,464,-256,-840,500,-138,256,43,-305,0,7,2,8028,live,unknown
258387224,22410,1,9,22,0,-857,513,-177,250,140,-256,-854,517,-161,525,18,-287,0,15,2412,6952,live,unknown
258408815,21591,1,9,23,0,-843,528,-140,67,-189,-244,-838,530,-144,-653,-476,-153,0,15,4003,4107,live,unknown
258427717,18902,1,9,24,0,-844,516,-171,-885,-659,-110,-853,494,-196,-452,-531,-165,0,15,2905,4004,live,unknown
258446826,19109,1,9,25,0,-855,483,-199,183,-122,-256,-849,489,-180,592,232,-305,0,15,2014,3622,live,unknown
258465215,18389,1,9,26,0,-842,503,-156,586,305,-293,-838,515,-147,305,189,-220,0,15,403,4107,live,unknown
258484813,19598,1,9,27,0,-837,519,-151,116,43,-146,-838,518,-154,49,-85,-110,0,15,1,3178,live,unknown
258504814,20001,1,9,28,0,-839,517,-154,-12,-165,-85,-838,517,-153,-134,-208,-37,0,15,2,1977,live,unknown
258524813,19999,1,9,29,0,-840,516,-162,-317,-250,43,-838,517,-153,-134,-208,-37,0,3,1,8159,live,unknown
258547524,22711,1,9,30,0,-843,511,-177,-67,-6,55,-846,508,-174,110,128,18,0,15,2712,6282,live,unknown
258568215,20691,1,9,31,0,-848,510,-166,220,153,-12,-846,515,-158,201,18,0,0,15,3403,4285,live,unknown
258586815,18600,1,9,32,0,-843,518,-153,98,-134,18,-843,513,-146,-73,-159,0,0,15,2003,4537,live,unknown
258605615,18800,1,9,33,0,-842,503,-137,-256,-92,-55,-844,506,-151,-598,-171,-92,0,15,803,4428,live,unknown
258624814,19199,1,9,34,0,-851,511,-183,-366,-378,-49,-855,499,-181,171,-189,-67,0,15,2,4086,live,unknown
258644813,19999,1,9,35,0,-850,500,-152,220,73,-140,-840,524,-140,-189,0,-140,0,15,1,2758,live,unknown
258664857,20044,1,9,36,0,-838,530,-151,-427,-195,-79,-845,517,-171,-323,-262,-49,0,15,45,1508,live,unknown
258684814,19957,1,9,37,0,-846,505,-176,159,92,-98,-845,517,-171,-323,-262,-49,0,3,2,8134,live,unknown
258707215,22401,1,9,38,0,-836,515,-152,153,159,-55,-838,515,-151,98,31,-49,0,15,2403,6061,live,unknown
258727620,20405,1,9,39,0,-840,515,-157,61,-85,-37,-840,515,-164,24,-92,-31,0,15,2808,4512,live,unknown
258746524,18904,1,9,40,0,-839,515,-166,24,12,-43,-840,516,-162,24,98,-49,0,15,1712,4298,live,unknown
258764915,18391,1,9,41,0,-841,517,-157,-37,67,-37,-843,519,-157,-128,-12,-18,0,15,103,4761,live,unknown
258784813,19898,1,9,42,0,-844,524,-163,-208,-6,-12,-845,529,-167,-201,153,-61,0,15,1,3553,live,unknown
258804814,20001,1,9,43,0,-846,529,-162,-128,311,-140,-844,526,-154,-134,342,-189,0,15,2,2410,live,unknown
258824814,20000,1,9,44,0,-843,521,-151,-433,104,-183,-843,516,-156,-134,342,-189,0,7,2,8027,live,unknown
258847588,22774,1,9,45,0,-844,510,-172,-385,177,-244,-847,508,-170,-177,287,-336,0,15,2776,6505,live,unknown
258868917,21329,1,9,46,0,-849,510,-161,-61,323,-409,-851,514,-155,-79,287,-452,0,15,4105,3974,live,unknown
258887515,18598,1,9,47,0,-850,517,-154,-110,238,-488,-849,518,-155,-122,214,-513,0,15,2703,4177,live,unknown
258906517,19002,1,9,48,0,-850,515,-155,-134,195,-507,-850,510,-154,-146,177,-500,0,15,1705,3868,live,unknown
258925217,18700,1,9,49,0,-851,508,-154,-153,122,-513,-851,508,-157,-140,85,-549,0,15,405,3965,live,unknown
258944814,19597,1,9,50,1,-846,508,-167,-43,153,-745,-844,506,-167,-24,165,-757,0,15,2,3450,live,unknown
258981320,36506,1,9,51,1,-848,509,-164,49,55,-745,-852,509,-157,61,-244,-751,0,15,16508,4193,live,unknown
