time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
484918343,0,1,19,0,0,-962,-87,-212,1483,293,-824,-962,-79,-185,1196,31,-836,0,15,1,4303,live,unknown
484938344,20001,1,19,1,0,-961,-62,-197,879,-104,-806,-953,-54,-221,702,61,-751,0,15,2,2953,live,unknown
484958343,19999,1,19,2,0,-945,-53,-225,616,262,-635,-943,-57,-213,519,153,-470,0,15,1,1755,live,unknown
484978344,20001,1,19,3,0,-942,-88,-216,549,-269,-220,-943,-57,-213,519,153,-470,0,3,2,8028,live,unknown
485000813,22469,1,19,4,0,-945,-104,-238,574,-110,-104,-945,-105,-238,378,-110,-171,0,15,2471,6161,live,unknown
485022019,21206,1,19,5,0,-945,-93,-241,214,-92,-220,-944,-82,-247,67,55,-177,0,15,3677,3757,live,unknown
485040406,18387,1,19,6,0,-947,-77,-247,31,128,-134,-956,-71,-251,92,12,6,0,15,2064,4180,live,unknown
485058822,18416,1,19,7,0,-967,-71,-264,153,-6,195,-982,-74,-275,311,140,287,0,15,480,4455,live,unknown
485078343,19521,1,19,8,0,-1000,-70,-275,439,226,354,-1015,-65,-269,397,214,415,0,15,1,3787,live,unknown
485098344,20001,1,19,9,0,-1028,-52,-257,372,122,488,-1036,-44,-239,348,-61,616,0,15,2,2533,live,unknown
485118344,20000,1,19,10,0,-1029,-59,-208,256,-348,616,-1009,-78,-181,-6,-714,476,0,15,2,1337,live,unknown
485138343,19999,1,19,11,0,-967,-109,-225,104,-873,275,-1009,-78,-181,-6,-714,476,0,3,1,8069,live,unknown
485160895,22552,1,19,12,0,-940,-137,-202,189,-543,201,-940,-121,-212,104,-653,171,0,15,2553,5702,live,unknown
485181639,20744,1,19,13,0,-939,-100,-232,214,-421,104,-938,-82,-231,244,-134,12,0,15,3297,3761,live,unknown
485200213,18574,1,19,14,0,-941,-60,-218,171,-37,-31,-948,-41,-201,110,-159,-61,0,15,1871,3917,live,unknown
485218713,18500,1,19,15,0,-955,-34,-191,24,-323,-61,-960,-40,-190,-134,-360,-49,0,15,371,4215,live,unknown
485238343,19630,1,19,16,0,-961,-55,-188,-354,-299,-61,-960,-72,-186,-531,-342,-79,0,15,1,3333,live,unknown
485258344,20001,1,19,17,0,-961,-89,-189,-604,-482,-55,-966,-101,-200,-623,-568,-67,0,15,2,2078,live,unknown
485278343,19999,1,19,18,0,-972,-108,-222,-519,-568,-275,-966,-101,-200,-623,-568,-67,0,3,1,8082,live,unknown
485301319,22976,1,19,19,0,-973,-81,-221,-525,-635,-287,-980,-67,-215,-500,-555,-311,0,15,2977,6046,live,unknown
485322619,21300,1,19,20,0,-986,-56,-199,-500,-348,-360,-994,-52,-184,-470,-323,-354,0,15,4277,3493,live,unknown
485341319,18700,1,19,21,0,-1000,-52,-180,-385,-531,-281,-1002,-54,-184,-366,-629,-220,0,15,2977,3538,live,unknown
485360319,19000,1,19,22,0,-1000,-56,-184,-519,-531,-195,-996,-53,-177,-708,-452,-146,0,15,1977,3399,live,unknown
485378919,18600,1,19,23,0,-992,-49,-175,-836,-458,-55,-989,-49,-180,-885,-476,43,0,15,577,3538,live,unknown
485398344,19425,1,19,24,0,-988,-52,-181,-897,-464,85,-989,-54,-173,-934,-476,79,0,15,2,2862,live,unknown
485418356,20012,1,19,25,0,-988,-53,-163,-977,-513,37,-986,-53,-151,-1001,-568,-6,0,15,14,1653,live,unknown
485438344,19988,1,19,26,0,-981,-60,-142,-842,-970,-122,-986,-53,-151,-1001,-568,-6,0,3,2,8063,live,unknown
485461129,22785,1,19,27,0,-975,-49,-148,-671,-1117,-24,-971,-37,-144,-818,-1062,79,0,15,2787,5743,live,unknown
485481935,20806,1,19,28,0,-971,-25,-136,-964,-1031,201,-974,-21,-127,-958,-1086,299,0,15,3593,3737,live,unknown
485500935,19000,1,19,29,0,-975,-21,-117,-1013,-1208,439,-976,-17,-108,-1312,-1367,641,0,15,2593,3537,live,unknown
485520016,19081,1,19,30,0,-977,-14,-106,-1660,-1520,867,-981,-14,-114,-1770,-1672,1062,0,15,1674,3179,live,unknown
485538819,18803,1,19,31,0,-985,-15,-132,-1611,-1715,1141,-984,-19,-148,-1324,-1508,1038,0,15,477,3173,live,unknown
