time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
226896058,0,1,4,0,0,-827,519,-227,-92,18,-110,-826,518,-227,-92,24,-122,0,15,46,5719,live,unknown
226916014,19956,1,4,1,0,-825,518,-226,-98,31,-128,-825,519,-224,-85,0,-128,0,15,2,4508,live,unknown
226936013,19999,1,4,2,0,-826,521,-225,-98,-55,-122,-825,522,-226,-37,-104,-116,0,15,1,3208,live,unknown
226956014,20001,1,4,3,0,-823,523,-230,-24,-67,-128,-825,517,-219,61,110,-171,0,15,2,2008,live,unknown
226976014,20000,1,4,4,0,-815,515,-195,-598,165,-110,-825,517,-219,61,110,-171,0,3,2,8168,live,unknown
226998631,22617,1,4,5,0,-834,515,-259,189,446,-55,-835,519,-222,580,348,-110,0,15,2619,6275,live,unknown
227019542,20911,1,4,6,0,-823,538,-200,-104,-61,0,-820,540,-224,-696,-372,98,0,15,3530,4218,live,unknown
227038328,18786,1,4,7,0,-828,519,-261,-494,-201,-12,-833,507,-266,116,195,-183,0,15,2316,4179,live,unknown
227057422,19094,1,4,8,0,-828,510,-240,397,360,-195,-822,513,-214,195,177,-98,0,15,1410,3834,live,unknown
227076013,18591,1,4,9,0,-821,513,-212,-128,-116,-18,-821,516,-230,-226,-177,-12,0,15,1,4093,live,unknown
227096057,20044,1,4,10,0,-820,520,-245,-55,18,-55,-820,523,-238,153,195,-92,0,15,45,2743,live,unknown
227116014,19957,1,4,11,0,-820,523,-221,140,189,-85,-820,521,-213,-24,55,-67,0,15,2,1637,live,unknown
227136014,20000,1,4,12,0,-820,522,-223,-171,-128,-6,-820,521,-213,-24,55,-67,0,3,2,8141,live,unknown
227158315,22301,1,4,13,0,-823,518,-234,-128,37,-37,-823,516,-232,-49,67,-73,0,15,2303,6168,live,unknown
227179094,20779,1,4,14,0,-824,515,-228,-6,37,-98,-824,517,-227,-43,-49,-98,0,15,3082,4189,live,unknown
227197808,18714,1,4,15,0,-825,522,-230,-55,-128,-79,-827,523,-230,-49,-159,-73,0,15,1796,4277,live,unknown
227216715,18907,1,4,16,0,-828,518,-220,-98,-98,-110,-823,516,-210,-165,-55,-134,0,15,703,4061,live,unknown
227236013,19298,1,4,17,0,-820,520,-231,-427,-116,-85,-828,518,-257,-49,6,-49,0,15,1,3619,live,unknown
227256014,20001,1,4,18,0,-834,508,-231,513,305,-116,-826,517,-193,153,256,-116,0,15,2,2317,live,unknown
227276013,19999,1,4,19,0,-818,534,-198,-543,-269,55,-821,527,-230,153,256,-116,0,7,1,8010,live,unknown
227298394,22381,1,4,20,0,-831,509,-243,189,275,-128,-826,515,-221,146,238,-110,0,15,2382,6951,live,unknown
227320028,21634,1,4,21,0,-821,518,-214,-85,-6,-43,-820,517,-226,-165,-134,-12,0,15,4016,3987,live,unknown
227338615,18587,1,4,22,0,-821,517,-237,-18,-49,-43,-822,520,-234,134,67,-79,0,15,2603,4201,live,unknown
227357215,18600,1,4,23,0,-822,522,-223,98,61,-79,-823,522,-217,-67,-12,-43,0,15,1203,4401,live,unknown
227376014,18799,1,4,24,0,-823,521,-219,-183,-55,-31,-824,521,-226,-165,-18,-37,0,15,2,4402,live,unknown
227396013,19999,1,4,25,0,-825,521,-230,-79,43,-55,-826,520,-231,-24,92,-73,0,15,1,3116,live,unknown
227416013,20000,1,4,26,0,-825,520,-229,0,110,-85,-824,521,-226,6,85,-104,0,15,1,1915,live,unknown
227436014,20001,1,4,27,0,-827,520,-223,0,49,-116,-824,521,-226,6,85,-104,0,3,2,8149,live,unknown
227457816,21802,1,4,28,0,-827,520,-227,-55,-24,-128,-825,518,-231,-18,24,-134,0,15,1804,7050,live,unknown
227479690,21874,1,4,29,0,-824,517,-232,37,79,-134,-823,516,-229,98,110,-122,0,15,3678,3976,live,unknown
227498231,18541,1,4,30,0,-824,516,-226,128,79,-92,-825,515,-224,128,24,-61,0,15,2219,4182,live,unknown
227516828,18597,1,4,31,0,-826,516,-225,122,12,-49,-826,516,-226,122,31,-61,0,15,816,4281,live,unknown
227536014,19186,1,4,32,0,-826,516,-225,134,67,-79,-825,518,-222,110,79,-85,0,15,2,3945,live,unknown
227556014,20000,1,4,33,0,-825,520,-224,55,31,-98,-824,520,-227,37,-18,-110,0,15,2,2746,live,unknown
227576013,19999,1,4,34,0,-823,518,-229,24,-24,-116,-823,517,-230,24,-31,-116,0,15,1,1437,live,unknown
227596013,20000,1,4,35,0,-821,520,-230,-37,-31,-85,-823,517,-230,24,-31,-116,0,3,1,8159,live,unknown
227618420,22407,1,4,36,0,-824,516,-230,-73,49,-73,-828,514,-231,-43,98,-104,0,15,2408,5971,live,unknown
227638894,20474,1,4,37,0,-832,512,-233,55,73,-159,-831,511,-233,165,79,-220,0,15,2882,4299,live,unknown
227657694,18800,1,4,38,0,-826,512,-232,201,177,-226,-823,517,-228,208,256,-214,0,15,1682,4299,live,unknown
