time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
270037524,0,1,20,0,0,-959,261,-208,110,-415,110,-953,264,-210,110,-360,79,0,15,2,7506,live,unknown
270059113,21589,1,20,1,0,-949,264,-215,92,-342,49,-946,263,-220,31,-305,0,0,15,1591,4705,live,unknown
270078015,18902,1,20,2,0,-940,259,-221,-6,-226,-73,-937,249,-217,49,-153,-177,0,15,493,4601,live,unknown
270097524,19509,1,20,3,0,-936,239,-210,189,-98,-305,-935,233,-202,372,-104,-439,0,15,2,3873,live,unknown
270117524,20000,1,20,4,0,-936,232,-193,555,-177,-555,-939,235,-188,708,-275,-665,0,15,2,2670,live,unknown
270137557,20033,1,20,5,0,-942,238,-184,800,-348,-800,-944,241,-180,818,-421,-909,0,15,35,1438,live,unknown
270157523,19966,1,20,6,0,-944,241,-178,818,-494,-1013,-944,241,-180,818,-421,-909,0,3,1,8180,live,unknown
270180435,22912,1,20,7,0,-944,234,-178,781,-555,-1068,-947,231,-177,769,-592,-1086,0,15,2913,5389,live,unknown
270200917,20482,1,20,8,0,-948,222,-172,726,-647,-1062,-947,208,-164,702,-702,-1080,0,15,3395,3651,live,unknown
270219617,18700,1,20,9,0,-945,197,-157,702,-745,-1117,-945,190,-156,684,-806,-1141,0,15,2095,3749,live,unknown
270238417,18800,1,20,10,0,-945,187,-164,702,-787,-1147,-940,186,-173,665,-696,-1147,0,15,895,3749,live,unknown
270257524,19107,1,20,11,0,-937,186,-178,549,-568,-1135,-944,186,-169,488,-458,-1013,0,15,2,3445,live,unknown
270277523,19999,1,20,12,0,-950,183,-153,342,-427,-854,-955,183,-153,104,-342,-818,0,15,1,2196,live,unknown
270297523,20000,1,20,13,0,-967,191,-168,409,-421,-690,-975,198,-172,104,-342,-818,0,7,1,8052,live,unknown
270320215,22692,1,20,14,0,-954,216,-150,140,-1141,-439,-947,215,-168,-43,-1013,-348,0,15,2693,6407,live,unknown
270342014,21799,1,20,15,0,-953,216,-158,-232,-946,-49,-953,177,-156,-372,-1514,513,0,15,4492,3408,live,unknown
270360540,18526,1,20,16,0,-945,117,-189,-37,-1300,336,-943,123,-189,269,-800,-104,0,15,3018,3681,live,unknown
270379333,18793,1,20,17,0,-945,163,-167,378,-629,-232,-948,184,-161,537,-586,-165,0,15,1811,3558,live,unknown
