time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
233791427,0,1,5,0,0,-821,536,-191,-61,-31,-6,-823,535,-198,-122,-146,-61,0,3,1,8143,live,unknown
233813329,21902,1,5,1,0,-825,532,-197,-37,-24,-31,-826,529,-196,18,18,-61,0,15,1903,6515,live,unknown
233834224,20895,1,5,2,0,-825,529,-192,18,43,-79,-824,531,-189,-49,24,-73,0,15,2798,4418,live,unknown
233852715,18491,1,5,3,0,-824,535,-189,-43,-43,-61,-822,540,-195,0,-110,-37,0,15,1289,4730,live,unknown
233871715,19000,1,5,4,0,-822,540,-199,92,-49,-43,-823,532,-178,287,159,-110,0,15,289,4530,live,unknown
233891427,19712,1,5,5,0,-818,529,-149,61,287,-134,-810,539,-167,-702,226,-12,0,15,1,3491,live,unknown
233911428,20001,1,5,6,0,-820,541,-217,-659,177,110,-834,528,-229,238,287,55,0,15,2,2289,live,unknown
233931427,19999,1,5,7,0,-833,530,-196,-55,256,6,-823,552,-170,238,287,55,0,7,1,8043,live,unknown
233953299,21872,1,5,8,0,-828,541,-215,-555,-177,43,-830,527,-231,-73,55,-55,0,15,1873,7376,live,unknown
233975304,22005,1,5,9,0,-827,526,-215,311,317,-110,-821,531,-188,305,293,-85,0,15,3878,4171,live,unknown
233994108,18804,1,5,10,0,-818,536,-176,12,24,-24,-818,540,-188,-189,-159,24,0,15,2682,4060,live,unknown
234012802,18694,1,5,11,0,-820,542,-204,-92,-92,18,-822,539,-205,92,98,-24,0,15,1376,4173,live,unknown
234031427,18625,1,5,12,0,-822,536,-194,146,171,-61,-818,537,-184,73,73,-79,0,15,1,4296,live,unknown
234051457,20030,1,5,13,0,-816,541,-184,-110,-55,-43,-818,541,-193,-220,-128,-18,0,15,31,3066,live,unknown
234071428,19971,1,5,14,0,-821,537,-204,-214,-110,-49,-821,533,-207,-122,-24,-92,0,15,2,1895,live,unknown
234091428,20000,1,5,15,0,-823,533,-196,43,31,-116,-821,533,-207,-122,-24,-92,0,3,2,8131,live,unknown
234113715,22287,1,5,16,0,-823,540,-196,-55,-61,-85,-823,543,-201,-49,-110,-73,0,15,2289,6514,live,unknown
234134921,21206,1,5,17,0,-825,540,-197,24,-85,-92,-825,531,-182,-6,18,-98,0,15,3495,4108,live,unknown
234153297,18376,1,5,18,0,-820,528,-179,-269,61,-85,-821,535,-205,-305,-104,-55,0,15,1871,4531,live,unknown
234172524,19227,1,5,19,0,-825,531,-222,140,-61,-24,-826,523,-195,586,262,-85,0,15,1098,3997,live,unknown
234191428,18904,1,5,20,0,-823,538,-163,262,220,-122,-819,556,-166,-299,-92,-43,0,15,2,3893,live,unknown
234211428,20000,1,5,21,0,-821,545,-193,-433,-281,18,-826,527,-215,-250,-128,-18,0,15,2,2627,live,unknown
234231428,20000,1,5,22,0,-827,525,-215,37,122,-79,-824,529,-200,159,177,-85,0,15,2,1401,live,unknown
