time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
529200350,0,1,27,0,0,-991,51,-140,-73,-208,104,-992,53,-134,-122,-201,128,0,15,1,5972,live,unknown
529220561,20211,1,27,1,0,-993,53,-129,-195,-232,165,-990,52,-128,-262,-232,220,0,15,212,4615,live,unknown
529240351,19790,1,27,2,0,-986,49,-125,-342,-250,275,-983,46,-123,-421,-299,287,0,15,2,3514,live,unknown
529260351,20000,1,27,3,0,-979,43,-125,-446,-366,287,-976,38,-131,-348,-385,275,0,15,2,2263,live,unknown
529280351,20000,1,27,4,0,-977,31,-134,-153,-183,183,-979,24,-129,-348,-385,275,0,7,2,8109,live,unknown
529303008,22657,1,27,5,0,-985,24,-111,-49,-122,92,-988,24,-112,140,-171,37,0,15,2659,6643,live,unknown
529324017,21009,1,27,6,0,-986,24,-117,360,-165,-31,-981,27,-124,464,-110,-61,0,15,3668,4459,live,unknown
529343233,19216,1,27,7,0,-977,32,-128,488,0,-49,-976,39,-128,507,116,0,0,15,2884,3873,live,unknown
529361246,18013,1,27,8,0,-979,49,-125,543,171,55,-987,56,-125,562,165,92,0,15,897,4627,live,unknown
529380351,19105,1,27,9,0,-995,58,-128,537,146,98,-1001,53,-129,458,177,85,0,15,2,4321,live,unknown
529400350,19999,1,27,10,0,-1002,49,-126,360,232,43,-1001,49,-125,256,275,12,0,15,1,3055,live,unknown
529420351,20001,1,27,11,0,-1002,50,-128,146,250,18,-1004,51,-139,31,293,24,0,15,2,1975,live,unknown
529440350,19999,1,27,12,0,-1005,57,-140,-195,348,43,-1004,51,-139,31,293,24,0,3,1,8199,live,unknown
529463039,22689,1,27,13,0,-996,57,-138,-323,336,6,-996,54,-137,-378,281,24,0,15,2690,6078,live,unknown
529483742,20703,1,27,14,0,-995,50,-136,-378,208,31,-993,46,-134,-360,183,-12,0,15,3393,4172,live,unknown
529502739,18997,1,27,15,0,-990,42,-129,-378,153,-92,-987,36,-126,-427,128,-159,0,15,2390,3984,live,unknown
529521608,18869,1,27,16,0,-986,28,-124,-470,98,-195,-986,21,-123,-427,37,-226,0,15,1259,3858,live,unknown
529540405,18797,1,27,17,0,-987,18,-121,-262,-37,-262,-986,19,-123,-140,-73,-299,0,15,56,3862,live,unknown
529560351,19946,1,27,18,0,-984,18,-124,-116,-18,-366,-982,13,-107,-189,37,-403,0,15,2,2607,live,unknown
529580350,19999,1,27,19,0,-978,13,-83,-372,-128,-385,-981,18,-99,-555,-342,-323,0,15,1,1465,live,unknown
529600351,20001,1,27,20,0,-994,16,-156,-6,177,-262,-981,18,-99,-555,-342,-323,0,3,2,8076,live,unknown
529623042,22691,1,27,21,0,-995,45,-114,-226,-177,-55,-994,50,-135,-317,-214,-31,0,15,2693,5630,live,unknown
529643740,20698,1,27,22,0,-992,47,-154,-250,-92,-6,-989,44,-159,-116,24,61,0,15,3391,3767,live,unknown
529662102,18362,1,27,23,0,-986,41,-150,-43,73,134,-986,39,-138,24,-6,165,0,15,1753,4094,live,unknown
