time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
195836026,0,1,6,0,0,-907,-328,-255,-220,-244,385,-836,457,-277,98,-391,-433,0,15,65936,892,live,unknown
195858677,22651,1,6,1,0,-890,-319,-264,-153,-281,378,-841,450,-256,342,-397,-366,0,15,12700,871,live,unknown
195881975,23298,1,6,2,0,-893,-309,-264,-98,-348,403,-842,468,-252,110,-220,-439,0,15,13271,925,live,unknown
195905337,23362,1,6,3,0,-901,-309,-260,-104,-360,372,-833,463,-283,-43,-177,-739,0,15,13389,870,live,unknown
195928424,23087,1,6,4,0,-909,-296,-257,-183,-421,391,-841,448,-280,287,-311,-580,0,15,13040,871,live,unknown
195951399,22975,1,6,5,0,-909,-286,-256,-299,-439,342,-856,445,-238,98,-500,-562,0,15,13000,871,live,unknown
195974399,23000,1,6,6,0,-910,-284,-255,-452,-397,336,-849,456,-267,317,433,-635,0,15,13000,915,live,unknown
195997677,23278,1,6,7,0,-916,-283,-251,-464,-330,226,-854,450,-247,-153,-208,-635,0,15,13300,871,live,unknown
196021077,23400,1,6,8,0,-921,-283,-249,-531,-299,183,-854,445,-278,-79,49,-732,0,15,13400,870,live,unknown
196044055,22978,1,6,9,0,-925,-280,-243,-623,-220,153,-860,430,-258,-195,104,-549,0,15,12918,930,live,unknown
196067226,23171,1,6,10,0,-928,-276,-244,-696,-317,37,-860,432,-256,-153,146,-500,0,15,13182,892,live,unknown
196090084,22858,1,6,11,0,-914,-305,-250,-653,-201,-146,-862,440,-268,-43,287,-385,0,15,12900,884,live,unknown
196113177,23093,1,6,12,0,-920,-323,-242,-696,-85,-98,-855,451,-276,-488,403,-586,0,15,13100,870,live,unknown
196136477,23300,1,6,13,0,-925,-316,-238,-586,-98,-122,-864,425,-281,-360,391,-568,0,15,13275,920,live,unknown
196159791,23314,1,6,14,0,-924,-303,-233,-500,-134,-110,-869,417,-276,-24,336,-171,0,15,13325,898,live,unknown
196183174,23383,1,6,15,0,-922,-296,-230,-385,-195,-159,-872,418,-270,-98,372,-122,0,15,13369,927,live,unknown
196206677,23503,1,6,16,0,-915,-287,-228,-153,-201,-134,-867,411,-268,122,262,-159,0,15,13531,871,live,unknown
196229977,23300,1,6,17,0,-912,-279,-229,-134,-195,-110,-865,416,-273,104,311,-183,0,15,13300,870,live,unknown
196253500,23523,1,6,18,0,-909,-287,-229,-153,-104,-128,-859,423,-276,220,232,-311,0,15,13500,916,live,unknown
196276677,23177,1,6,19,0,-910,-293,-230,-183,-92,-153,-860,426,-276,250,122,-348,0,15,13200,871,live,unknown
196299977,23300,1,6,20,0,-916,-306,-229,-366,-61,-250,-855,422,-277,250,55,-415,0,15,13275,920,live,unknown
196323378,23401,1,6,21,0,-920,-312,-224,-763,85,-385,-858,421,-280,372,-122,-537,0,15,13400,922,live,unknown
196346568,23190,1,6,22,0,-919,-318,-228,-1404,110,-604,-849,418,-288,-61,348,-562,0,15,13216,870,live,unknown
