time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
141894670,0,1,3,0,0,35,-16,-985,-24,79,31,-142,-147,1008,18,-18,-43,0,15,66889,862,live,unknown
141916838,22168,1,3,1,0,33,-18,-986,-6,55,31,-143,-146,1007,-43,43,-43,0,15,12171,856,live,unknown
141939032,22194,1,3,2,0,33,-18,-984,-31,73,31,-143,-146,1007,12,-18,-43,0,15,12194,856,live,unknown
141961469,22437,1,3,3,0,33,-16,-988,-12,67,31,-144,-147,1011,-18,18,-43,0,15,12431,868,live,unknown
141983769,22300,1,3,4,0,35,-16,-981,-24,61,31,-142,-146,1003,12,-18,-43,0,15,12300,868,live,unknown
142005968,22199,1,3,5,0,35,-16,-992,6,49,24,-142,-148,1014,37,-18,-37,0,15,12200,867,live,unknown
142028085,22117,1,3,6,0,35,-16,-984,24,24,31,-140,-146,999,-55,43,-49,0,15,12100,900,live,unknown
142050335,22250,1,3,7,0,35,-16,-988,-43,79,31,-142,-148,1017,43,0,-31,0,15,12272,856,live,unknown
142072638,22303,1,3,8,0,34,-16,-984,12,18,31,-144,-147,1010,-122,128,-49,0,15,12303,856,live,unknown
142094969,22331,1,3,9,0,32,-18,-978,-55,61,24,-144,-146,1006,67,-128,-43,0,15,12325,868,live,unknown
142117169,22200,1,3,10,0,32,-17,-991,18,61,31,-145,-146,1009,-146,134,-49,0,15,12200,868,live,unknown
142139575,22406,1,3,11,0,34,-16,-978,-43,67,24,-141,-146,997,-18,12,-49,0,15,12400,880,live,unknown
142161775,22200,1,3,12,0,36,-18,-993,-49,110,24,-144,-148,1020,24,31,-37,0,15,12200,880,live,unknown
142183975,22200,1,3,13,0,36,-16,-981,24,37,31,-141,-147,1006,-146,128,-49,0,15,12200,881,live,unknown
142206499,22524,1,3,14,0,35,-16,-991,-43,73,31,-142,-148,1013,43,-79,-37,0,15,12500,857,live,unknown
142228913,22414,1,3,15,0,33,-17,-988,24,24,31,-143,-146,1000,-73,61,-43,0,15,12415,855,live,unknown
142251438,22525,1,3,16,0,32,-17,-985,-55,92,31,-143,-146,1006,49,-79,-37,0,15,12560,856,live,unknown
142273769,22331,1,3,17,0,33,-16,-985,12,49,31,-144,-146,1007,-79,73,-55,0,15,12325,868,live,unknown
142296091,22322,1,3,18,0,33,-16,-984,-18,67,24,-143,-146,1008,24,-31,-43,0,15,12300,913,live,unknown
142318375,22284,1,3,19,0,34,-17,-987,-24,67,31,-143,-147,1010,-6,0,-37,0,15,12300,880,live,unknown
142340369,21994,1,3,20,0,35,-16,-984,-12,55,31,-142,-147,1007,-31,24,-43,0,15,12000,868,live,unknown
142362569,22200,1,3,21,0,33,-17,-986,-24,73,31,-142,-146,1005,18,-18,-43,0,15,12200,868,live,unknown
142384769,22200,1,3,22,0,35,-16,-987,-6,61,31,-143,-147,1010,-43,43,-43,0,15,12200,868,live,unknown
142406969,22200,1,3,23,0,34,-16,-986,-18,67,24,-143,-147,1008,-12,-6,-43,0,15,12200,868,live,unknown
142429169,22200,1,3,24,0,35,-17,-984,-18,49,24,-142,-146,1008,-18,18,-43,0,15,12200,868,live,unknown
142451369,22200,1,3,25,0,34,-16,-987,-12,55,31,-143,-147,1009,-24,18,-43,0,15,12200,868,live,unknown
142473668,22299,1,3,26,0,34,-17,-985,-18,49,31,-142,-146,1007,-12,0,-43,0,15,12300,867,live,unknown
142495868,22200,1,3,27,0,33,-17,-984,-12,61,31,-142,-147,1007,6,0,-43,0,15,12200,867,live,unknown
142518039,22171,1,3,28,0,33,-16,-986,-18,67,24,-143,-146,1010,-18,18,-43,0,15,12176,856,live,unknown
142540469,22430,1,3,29,0,34,-17,-984,-6,43,31,-144,-146,1008,-55,43,-43,0,15,12424,868,live,unknown
142562669,22200,1,3,30,0,34,-16,-985,-31,67,24,-142,-147,1007,12,-18,-43,0,15,12200,868,live,unknown
142584869,22200,1,3,31,0,35,-17,-986,-12,55,31,-142,-147,1009,-43,37,-43,0,15,12200,868,live,unknown
142607069,22200,1,3,32,0,34,-17,-985,-12,49,31,-143,-146,1007,-43,31,-49,0,15,12200,868,live,unknown
142629269,22200,1,3,33,0,34,-17,-984,-18,67,24,-143,-146,1007,12,-18,-43,0,15,12200,868,live,unknown
142651469,22200,1,3,34,0,33,-16,-986,-12,49,31,-142,-147,1008,-24,24,-43,0,15,12200,868,live,unknown
142673668,22199,1,3,35,0,33,-17,-985,-12,67,31,-144,-146,1007,-6,0,-43,0,15,12200,867,live,unknown
142695785,22117,1,3,36,0,34,-17,-984,-12,61,31,-143,-147,1008,-37,18,-43,0,15,12100,900,live,unknown
142718068,22283,1,3,37,0,34,-17,-986,0,43,31,-142,-147,1006,-6,0,-43,0,15,12300,867,live,unknown
142740238,22170,1,3,38,0,34,-17,-986,-18,55,24,-143,-146,1008,-6,-6,-43,0,15,12175,856,live,unknown
142762569,22331,1,3,39,0,34,-18,-986,-6,61,24,-143,-146,1009,-24,18,-49,0,15,12325,868,live,unknown
142784769,22200,1,3,40,0,34,-16,-985,-6,49,31,-143,-146,1007,-43,31,-43,0,15,12200,868,live,unknown
142807168,22399,1,3,41,0,33,-17,-984,-18,49,31,-144,-146,1007,-6,0,-43,0,15,12400,867,live,unknown
142847603,40435,1,3,42,1,36,-16,-982,-18,67,24,-141,-147,1004,6,-12,-37,0,15,12100,917,live,unknown
142869763,22160,1,3,43,1,33,-17,-987,-24,61,31,-143,-147,1011,0,-6,-43,0,15,30500,856,live,unknown
142891875,22112,1,3,44,1,34,-17,-982,-12,43,31,-142,-146,1003,-43,24,-43,0,15,12100,881,live,unknown
142914163,22288,1,3,45,1,34,-17,-988,-24,73,24,-143,-148,1013,-6,6,-37,0,15,12300,856,live,unknown
142936191,22028,1,3,46,1,33,-17,-982,-6,43,24,-142,-146,1005,-49,37,-49,0,15,12000,913,live,unknown
142958391,22200,1,3,47,1,34,-17,-985,-24,67,31,-143,-146,1009,-6,0,-43,0,15,12200,912,live,unknown
142980468,22077,1,3,48,1,35,-16,-986,0,55,24,-142,-147,1009,-49,31,-43,0,15,12100,867,live,unknown
143002585,22117,1,3,49,1,34,-17,-984,-24,61,24,-142,-146,1006,-24,12,-49,0,15,12100,900,live,unknown
143024869,22284,1,3,50,1,33,-16,-985,-18,55,31,-143,-146,1009,-12,6,-43,0,15,12300,868,live,unknown
143047069,22200,1,3,51,1,34,-17,-985,-12,61,31,-142,-146,1008,-6,6,-43,0,15,12200,868,live,unknown
143069185,22116,1,3,52,1,33,-17,-985,-12,61,31,-144,-146,1007,-18,18,-43,0,15,12100,900,live,unknown
143091468,22283,1,3,53,1,35,-18,-983,-24,73,24,-142,-146,1008,0,-6,-43,0,15,12300,867,live,unknown
143113585,22117,1,3,54,1,36,-17,-986,0,55,31,-142,-147,1010,-37,37,-43,0,15,12100,900,live,unknown
143135785,22200,1,3,55,1,36,-17,-986,-24,73,31,-142,-146,1006,12,-12,-43,0,15,12200,900,live,unknown
143156969,21184,1,3,56,1,35,-16,-985,-6,49,31,-141,-147,1005,-37,31,-43,0,15,11200,868,live,unknown
143179169,22200,1,3,57,1,34,-17,-986,-18,73,31,-144,-146,1008,6,-12,-43,0,15,12200,868,live,unknown
143201469,22300,1,3,58,1,32,-17,-983,-12,55,24,-143,-146,1006,-43,37,-43,0,15,12300,868,live,unknown
143223668,22199,1,3,59,1,33,-17,-984,-31,79,31,-145,-146,1010,0,-12,-43,0,15,12200,867,live,unknown
143245968,22300,1,3,60,1,35,-16,-986,0,49,31,-142,-148,1010,-55,49,-43,0,15,12300,867,live,unknown
143268085,22117,1,3,61,1,35,-17,-985,-31,79,31,-141,-148,1007,24,-31,-37,0,15,12100,900,live,unknown
143290369,22284,1,3,62,1,35,-17,-988,-6,55,24,-141,-147,1008,-55,49,-49,0,15,12300,868,live,unknown
143312568,22199,1,3,63,1,34,-17,-981,-24,61,24,-143,-146,1004,0,-6,-43,0,15,12200,867,live,unknown
143334685,22117,1,3,64,1,32,-17,-988,0,61,24,-144,-146,1011,-31,37,-43,0,15,12100,900,live,unknown
143356885,22200,1,3,65,1,33,-16,-983,12,49,31,-143,-146,1009,-79,67,-49,0,15,12200,900,live,unknown
143379269,22384,1,3,66,1,35,-17,-984,-37,73,31,-142,-146,1007,37,-49,-43,0,15,12400,868,live,unknown
143401469,22200,1,3,67,1,35,-17,-986,6,43,31,-142,-147,1008,-67,61,-43,0,15,12200,868,live,unknown
143423585,22116,1,3,68,1,34,-17,-985,-31,67,31,-141,-146,1003,-6,0,-43,0,15,12100,900,live,unknown
143445785,22200,1,3,69,1,35,-17,-988,0,55,31,-142,-148,1011,-37,37,-43,0,15,12200,900,live,unknown
143467985,22200,1,3,70,1,34,-17,-982,-18,55,31,-143,-146,1005,0,-12,-43,0,15,12200,900,live,unknown
143490368,22383,1,3,71,1,33,-17,-987,-6,43,31,-143,-147,1011,-6,0,-43,0,15,12400,867,live,unknown
143512585,22217,1,3,72,1,34,-17,-984,-6,49,31,-142,-147,1004,-18,12,-43,0,15,12200,900,live,unknown
143534869,22284,1,3,73,1,34,-17,-987,-18,73,31,-144,-147,1012,-12,12,-43,0,15,12300,868,live,unknown
143557068,22199,1,3,74,1,35,-17,-982,0,43,31,-141,-147,1007,-73,61,-49,0,15,12200,867,live,unknown
143579185,22117,1,3,75,1,34,-17,-983,-31,85,24,-142,-148,1010,24,-37,-43,0,15,12100,900,live,unknown
143601569,22384,1,3,76,1,33,-17,-986,18,31,31,-144,-147,1013,-55,67,-43,0,15,12400,868,live,unknown
