time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
883348727,0,1,47,0,0,-901,266,-306,-586,-677,427,-903,322,-278,12,-317,6,0,3,2,8147,live,unknown
883370817,22090,1,47,1,0,-894,265,-293,-488,-659,293,-879,270,-308,-366,-1044,299,0,15,2092,6070,live,unknown
883392227,21410,1,47,2,0,-870,278,-324,-220,-348,256,-884,286,-303,-6,-238,336,0,15,3502,3461,live,unknown
883410515,18288,1,47,3,0,-896,288,-289,159,-189,458,-902,289,-282,470,-378,507,0,15,1790,3915,live,unknown
883429315,18800,1,47,4,0,-909,291,-271,537,-323,470,-916,296,-267,549,-470,403,0,15,590,3915,live,unknown
883448727,19412,1,47,5,0,-923,294,-271,568,-366,354,-930,284,-279,720,-562,311,0,15,2,3244,live,unknown
883468727,20000,1,47,6,0,-925,274,-288,909,-623,299,-921,271,-291,922,-629,256,0,15,2,1985,live,unknown
883488727,20000,1,47,7,0,-926,276,-286,378,-488,195,-921,271,-291,922,-629,256,0,3,2,8110,live,unknown
883511215,22488,1,47,8,0,-929,293,-280,519,-555,73,-921,299,-283,842,-610,49,0,15,2490,6559,live,unknown
883532315,21100,1,47,9,0,-911,297,-289,854,-708,92,-907,293,-290,531,-476,79,0,15,3590,4142,live,unknown
883551015,18700,1,47,10,0,-911,288,-280,183,-323,-12,-913,279,-279,24,-421,-73,0,15,2290,4241,live,unknown
883570127,19112,1,47,11,0,-912,267,-286,31,-494,-116,-910,256,-288,92,-482,-159,0,15,1402,3847,live,unknown
883588915,18788,1,47,12,0,-910,250,-285,140,-446,-165,-912,244,-280,92,-488,-159,0,15,190,3859,live,unknown
883608726,19811,1,47,13,0,-915,237,-277,-6,-580,-165,-916,235,-281,-67,-604,-195,0,15,1,2764,live,unknown
883628726,20000,1,47,14,0,-915,243,-287,-110,-507,-244,-913,256,-287,-177,-336,-269,0,15,1,1560,live,unknown
883648727,20001,1,47,15,0,-917,267,-251,-281,-500,-238,-913,256,-287,-177,-336,-269,0,3,2,8187,live,unknown
883671915,23188,1,47,16,0,-916,259,-260,-415,-433,-299,-918,250,-264,-275,-293,-281,0,15,3190,5437,live,unknown
883692717,20802,1,47,17,0,-928,251,-252,-427,-671,-49,-936,255,-259,-751,-1013,226,0,15,3992,3334,live,unknown
883711215,18498,1,47,18,0,-935,259,-273,-989,-836,342,-937,262,-287,-1111,-513,208,0,15,2490,3563,live,unknown
883730105,18890,1,47,19,0,-938,263,-293,-940,-262,24,-932,259,-287,-830,-37,-73,0,15,1380,3493,live,unknown
883748758,18653,1,47,20,0,-927,261,-277,-909,110,-110,-930,264,-275,-745,61,-79,0,15,33,3573,live,unknown
883768727,19969,1,47,21,0,-929,263,-274,-372,-110,6,-924,261,-278,-208,-244,159,0,15,2,2355,live,unknown
883788727,20000,1,47,22,0,-922,260,-286,-232,6,153,-922,262,-279,-208,-244,159,0,7,2,8083,live,unknown
883811427,22700,1,47,23,0,-917,263,-273,-85,24,61,-911,262,-275,-49,-37,122,0,15,2702,6644,live,unknown
883832993,21566,1,47,24,0,-907,266,-280,18,-49,214,-906,266,-282,128,-12,305,0,15,4268,3817,live,unknown
883851728,18735,1,47,25,0,-905,265,-278,183,24,360,-907,269,-276,232,6,378,0,15,3003,3876,live,unknown
883870234,18506,1,47,26,0,-909,279,-278,293,-18,409,-912,290,-276,385,-79,446,0,15,1509,4069,live,unknown
883889296,19062,1,47,27,0,-921,291,-261,409,-201,482,-927,284,-245,415,-415,439,0,15,571,3805,live,unknown
