time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
893905457,0,1,49,0,0,-942,259,-212,1050,18,-195,-940,261,-209,610,-275,-98,0,15,41,2974,live,unknown
893925418,19961,1,49,1,0,-935,261,-231,476,-195,-140,-936,257,-233,549,-110,-262,0,15,2,1797,live,unknown
893945418,20000,1,49,2,0,-944,244,-229,397,-305,-342,-936,257,-233,549,-110,-262,0,3,2,8092,live,unknown
893968243,22825,1,49,3,0,-946,253,-235,470,-446,-372,-943,266,-239,525,-452,-403,0,15,2827,5881,live,unknown
893989249,21006,1,49,4,0,-938,281,-244,317,-464,-397,-932,292,-247,189,-507,-385,0,15,3833,3579,live,unknown
894007956,18707,1,49,5,0,-928,298,-249,122,-574,-378,-926,303,-252,73,-568,-348,0,15,2540,3649,live,unknown
894026636,18680,1,49,6,0,-925,303,-251,37,-543,-311,-924,300,-249,-24,-537,-275,0,15,1220,3792,live,unknown
894045536,18900,1,49,7,0,-922,297,-250,-122,-537,-244,-919,296,-248,-232,-507,-232,0,15,120,3669,live,unknown
894065417,19881,1,49,8,0,-917,297,-246,-299,-482,-232,-917,296,-246,-287,-433,-195,0,15,1,2580,live,unknown
894085417,20000,1,49,9,0,-916,294,-248,-244,-378,-128,-914,289,-248,-195,-311,-79,0,15,1,1355,live,unknown
894105417,20000,1,49,10,0,-912,286,-242,-146,-244,-49,-914,289,-248,-195,-311,-79,0,3,1,8118,live,unknown
894128436,23019,1,49,11,0,-913,284,-237,-37,-177,-43,-913,287,-236,6,-171,-24,0,15,3020,5271,live,unknown
894148720,20284,1,49,12,0,-914,289,-235,37,-165,0,-917,287,-231,92,-171,-6,0,15,3304,3726,live,unknown
894166925,18205,1,49,13,0,-919,287,-231,92,-177,-43,-921,285,-231,116,-134,-55,0,15,1509,4253,live,unknown
894186043,19118,1,49,14,0,-923,282,-229,122,-104,-43,-925,281,-227,134,-55,-43,0,15,627,3913,live,unknown
894205418,19375,1,49,15,0,-927,280,-224,116,-61,-55,-929,278,-224,49,-73,-85,0,15,2,3312,live,unknown
894225418,20000,1,49,16,0,-929,279,-225,24,-67,-116,-929,278,-227,61,-79,-153,0,15,2,2080,live,unknown
894245418,20000,1,49,17,0,-931,277,-232,104,-67,-220,-929,278,-227,61,-79,-153,0,3,2,8123,live,unknown
894268207,22789,1,49,18,0,-929,284,-230,18,-49,-287,-929,280,-233,24,-31,-348,0,15,2791,6277,live,unknown
894289317,21110,1,49,19,0,-929,275,-236,67,6,-391,-928,270,-238,43,55,-415,0,15,3901,3912,live,unknown
894307915,18598,1,49,20,0,-924,266,-241,-24,104,-415,-921,260,-241,-67,177,-427,0,15,2499,4054,live,unknown
894327013,19098,1,49,21,0,-918,256,-239,-37,220,-458,-918,254,-239,18,208,-494,0,15,1597,3706,live,unknown
894345609,18596,1,49,22,0,-916,249,-242,85,177,-507,-914,244,-246,140,244,-519,0,15,193,3901,live,unknown
