time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
134264476,0,1,1,0,0,34,-16,-986,-24,92,31,-142,-146,1003,18,-18,-43,0,15,65889,875,live,unknown
134286591,22115,1,1,1,0,34,-17,-989,-6,73,31,-143,-146,1013,-49,43,-43,0,15,12096,913,live,unknown
134308769,22178,1,1,2,0,35,-16,-981,-12,61,24,-141,-145,1001,18,-24,-43,0,15,12200,868,live,unknown
134331091,22322,1,1,3,0,35,-16,-991,-6,67,24,-142,-147,1011,43,-49,-37,0,15,12300,913,live,unknown
134353169,22078,1,1,4,0,34,-15,-985,18,49,31,-142,-147,1004,-73,61,-43,0,15,12100,868,live,unknown
134375369,22200,1,1,5,0,34,-15,-986,-31,67,31,-143,-146,1006,0,-6,-43,0,15,12200,868,live,unknown
134397485,22116,1,1,6,0,33,-16,-985,-6,49,24,-143,-146,1008,-24,18,-43,0,15,12100,900,live,unknown
134419685,22200,1,1,7,0,35,-16,-987,0,61,24,-142,-146,1007,-31,18,-43,0,15,12200,900,live,unknown
134441935,22250,1,1,8,0,35,-16,-986,-18,67,24,-142,-146,1007,6,-6,-43,0,15,12272,856,live,unknown
134464242,22307,1,1,9,0,35,-15,-985,-12,49,31,-141,-146,1007,-37,31,-43,0,15,12306,856,live,unknown
134486668,22426,1,1,10,0,34,-15,-985,-12,67,31,-142,-147,1009,-6,0,-43,0,15,12422,867,live,unknown
134508785,22117,1,1,11,0,34,-15,-986,-6,49,31,-142,-147,1008,-31,31,-43,0,15,12100,900,live,unknown
134531169,22384,1,1,12,0,34,-15,-985,-24,67,31,-142,-145,1007,12,-12,-37,0,15,12400,868,live,unknown
134553369,22200,1,1,13,0,33,-16,-989,0,61,31,-142,-146,1012,-18,18,-37,0,15,12200,868,live,unknown
134575569,22200,1,1,14,0,35,-15,-984,-18,67,31,-141,-146,1005,6,0,-43,0,15,12200,868,live,unknown
134597685,22116,1,1,15,0,35,-15,-987,-12,49,24,-142,-148,1010,-24,24,-43,0,15,12100,900,live,unknown
134619102,21417,1,1,16,0,35,-15,-984,-12,61,31,-141,-147,1005,-24,18,-49,0,15,11420,894,live,unknown
134641375,22273,1,1,17,0,33,-16,-988,-12,67,31,-143,-146,1010,-6,6,-43,0,15,12280,880,live,unknown
134663369,21994,1,1,18,0,34,-15,-984,-18,43,31,-142,-146,1005,-18,18,-43,0,15,12000,868,live,unknown
134685669,22300,1,1,19,0,35,-16,-984,-24,61,31,-142,-145,1006,6,-18,-43,0,15,12300,868,live,unknown
134707869,22200,1,1,20,0,35,-16,-987,-12,61,24,-142,-146,1010,-24,24,-43,0,15,12200,868,live,unknown
134730169,22300,1,1,21,0,35,-15,-984,-18,67,31,-142,-147,1007,6,-6,-43,0,15,12300,868,live,unknown
134752569,22400,1,1,22,0,34,-15,-986,-18,61,31,-141,-148,1008,-6,6,-43,0,15,12400,868,live,unknown
134774735,22166,1,1,23,0,34,-15,-984,-12,61,31,-142,-146,1006,-12,6,-43,0,15,12172,856,live,unknown
