time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
239737418,0,1,6,0,0,-848,555,-174,-336,-378,-360,-853,522,-169,-616,-464,-433,0,15,2,5602,live,unknown
239757418,20000,1,6,1,0,-854,490,-172,-952,-574,-494,-854,466,-187,-1019,-653,-525,0,15,2,4273,live,unknown
239777418,20000,1,6,2,0,-853,454,-203,-787,-610,-568,-847,456,-216,-494,-433,-623,0,15,2,3074,live,unknown
239797418,20000,1,6,3,0,-839,471,-220,-159,-159,-671,-832,492,-207,134,-31,-708,0,15,2,1872,live,unknown
239817418,20000,1,6,4,0,-824,524,-183,177,-256,-574,-832,492,-207,134,-31,-708,0,3,2,8162,live,unknown
239840033,22615,1,6,5,0,-820,527,-188,-153,-354,-342,-810,528,-196,-183,-330,-232,0,15,2617,6164,live,unknown
239861301,21268,1,6,6,0,-806,526,-198,-73,-238,-165,-807,528,-191,-128,-372,-104,0,15,3885,3644,live,unknown
239879842,18541,1,6,7,0,-809,537,-203,-140,-372,-12,-811,542,-212,55,-171,-6,0,15,2426,3901,live,unknown
239898219,18377,1,6,8,0,-811,548,-201,18,-220,31,-814,552,-196,-37,-378,98,0,15,803,4325,live,unknown
239917418,19199,1,6,9,0,-817,555,-197,128,-427,24,-809,567,-188,470,-403,-110,0,15,2,3853,live,unknown
239937456,20038,1,6,10,0,-798,581,-167,549,-464,-153,-794,577,-154,305,-531,-153,0,15,40,2615,live,unknown
239957417,19961,1,6,11,0,-803,556,-144,153,-616,-183,-821,536,-140,31,-879,-189,0,15,1,1401,live,unknown
239977417,20000,1,6,12,0,-847,517,-192,-31,-812,-110,-821,536,-140,31,-879,-189,0,3,1,8138,live,unknown
240000129,22712,1,6,13,0,-842,532,-202,787,-18,-232,-832,546,-181,940,165,-336,0,15,2713,5593,live,unknown
240020492,20363,1,6,14,0,-823,555,-156,806,24,-409,-822,555,-153,696,-323,-372,0,15,3076,4084,live,unknown
240039299,18807,1,6,15,0,-833,534,-164,977,-409,-372,-844,508,-153,1117,-641,-500,0,15,1883,3966,live,unknown
240058319,19020,1,6,16,0,-848,504,-153,775,-1056,-476,-846,514,-186,671,-1001,-366,0,15,903,3746,live,unknown
240077417,19098,1,6,17,0,-837,524,-204,1013,-531,-385,-825,536,-188,1367,-128,-458,0,15,1,3450,live,unknown
240097418,20001,1,6,18,0,-818,544,-154,1544,-31,-525,-817,552,-125,1343,-323,-562,0,15,2,2200,live,unknown
240117418,20000,1,6,19,0,-816,556,-125,323,-671,-507,-810,552,-145,1343,-323,-562,0,7,2,8055,live,unknown
240140013,22595,1,6,20,0,-811,531,-138,12,-397,-323,-815,523,-144,-525,-568,-79,0,15,2597,6507,live,unknown
240161313,21300,1,6,21,0,-830,512,-186,-610,-562,12,-845,495,-200,238,-305,-244,0,15,3897,4008,live,unknown
240180219,18906,1,6,22,0,-839,504,-162,897,-31,-635,-819,547,-108,793,-110,-714,0,15,2803,3902,live,unknown
240199019,18800,1,6,23,0,-813,576,-86,-323,-708,-372,-822,562,-124,-1715,-1239,-18,0,15,1603,3902,live,unknown
240218035,19016,1,6,24,0,-837,523,-171,-2179,-1135,98,-840,496,-167,-1831,-806,-12,0,15,619,3555,live,unknown
240237418,19383,1,6,25,0,-833,495,-145,-1471,-598,-55,-828,497,-139,-1331,-427,-49,0,15,2,2974,live,unknown
240257417,19999,1,6,26,0,-827,496,-155,-1257,-220,-37,-830,493,-178,-922,195,-6,0,15,1,1755,live,unknown
240277418,20001,1,6,27,0,-841,499,-150,104,830,-250,-830,493,-178,-922,195,-6,0,3,2,8171,live,unknown
240299928,22510,1,6,28,0,-835,520,-86,-641,244,-317,-835,521,-82,-1520,-531,-171,0,15,2512,6169,live,unknown
240321119,21191,1,6,29,0,-843,512,-115,-1996,-1166,-18,-857,491,-159,-1788,-1196,-6,0,15,3703,3832,live,unknown
240340219,19100,1,6,30,0,-867,476,-168,-1117,-720,-201,-868,480,-139,-659,-378,-421,0,15,2803,3424,live,unknown
240358815,18596,1,6,31,0,-864,497,-108,-629,-391,-531,-856,518,-91,-787,-647,-488,0,15,1399,3629,live,unknown
240377597,18782,1,6,32,0,-847,528,-85,-958,-989,-378,-845,521,-92,-1001,-1031,-323,0,15,181,3647,live,unknown
240397417,19820,1,6,33,0,-849,509,-104,-781,-629,-391,-855,509,-128,-604,-189,-500,0,15,1,2500,live,unknown
240417418,20001,1,6,34,0,-860,510,-148,55,128,-549,-858,500,-128,836,604,-586,0,15,2,1291,live,unknown
240437417,19999,1,6,35,0,-846,512,-86,397,604,-476,-858,500,-128,836,604,-586,0,3,1,8147,live,unknown
240459921,22504,1,6,36,0,-862,496,-117,293,214,-562,-866,493,-128,372,403,-641,0,15,2505,5754,live,unknown
240480399,20478,1,6,37,0,-866,495,-125,391,592,-671,-861,497,-115,189,458,-696,0,15,2983,4076,live,unknown
240499199,18800,1,6,38,0,-853,501,-113,-122,122,-677,-850,506,-123,-354,-134,-562,0,15,1783,3966,live,unknown
240518219,19020,1,6,39,0,-853,508,-139,-494,-177,-482,-858,508,-152,-464,24,-470,0,15,803,3746,live,unknown
240537417,19198,1,6,40,0,-863,504,-149,-281,323,-519,-867,501,-135,-165,446,-586,0,15,1,3299,live,unknown
240557417,20000,1,6,41,0,-868,498,-131,-134,470,-586,-866,496,-138,-122,531,-513,0,15,1,2097,live,unknown
