time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
565950135,0,1,28,0,0,-1004,133,-170,781,-366,-6,-987,54,-113,-73,0,-73,0,3,2,8105,live,unknown
565972031,21896,1,28,1,0,-973,62,-149,482,-757,-159,-962,37,-148,830,-1086,-568,0,15,1898,5992,live,unknown
565993138,21107,1,28,2,0,-964,46,-168,970,-1105,-739,-971,60,-185,775,-946,-739,0,15,3005,3741,live,unknown
566011942,18804,1,28,3,0,-980,77,-193,647,-806,-726,-991,104,-191,726,-702,-623,0,15,1809,3574,live,unknown
566030635,18693,1,28,4,0,-998,124,-185,610,-580,-311,-993,118,-179,391,-452,-116,0,15,502,3790,live,unknown
566050134,19499,1,28,5,0,-981,104,-172,366,-354,12,-971,79,-176,494,-226,116,0,15,1,2939,live,unknown
566070134,20000,1,28,6,0,-966,53,-182,592,-67,159,-966,36,-182,580,67,153,0,15,1,1834,live,unknown
566090135,20001,1,28,7,0,-961,38,-170,409,12,43,-966,36,-182,580,67,153,0,3,2,8218,live,unknown
566112334,22199,1,28,8,0,-951,21,-143,470,-18,-177,-959,14,-142,537,6,-201,0,15,2201,6578,live,unknown
566133538,21204,1,28,9,0,-969,19,-176,623,299,-189,-980,25,-188,659,452,-110,0,15,3405,4116,live,unknown
566152335,18797,1,28,10,0,-987,36,-165,378,281,-79,-992,59,-165,171,98,-55,0,15,2202,4120,live,unknown
566170927,18592,1,28,11,0,-988,66,-180,159,183,-67,-981,53,-187,226,269,-195,0,15,794,4217,live,unknown
566190135,19208,1,28,12,0,-981,42,-192,214,275,-269,-987,37,-194,79,311,-238,0,15,2,3768,live,unknown
566210157,20022,1,28,13,0,-992,34,-188,-159,403,-195,-992,34,-180,-311,385,-208,0,15,24,2534,live,unknown
566230135,19978,1,28,14,0,-987,39,-182,-323,360,-220,-983,44,-188,-403,409,-214,0,15,2,1364,live,unknown
566250135,20000,1,28,15,0,-977,41,-186,-665,397,-226,-983,44,-188,-403,409,-214,0,3,2,8078,live,unknown
566273038,22903,1,28,16,0,-966,33,-189,-769,250,-153,-963,31,-195,-793,269,-61,0,15,2905,5346,live,unknown
566293213,20175,1,28,17,0,-962,28,-197,-720,226,24,-963,28,-201,-659,110,79,0,15,3080,3974,live,unknown
566312097,18884,1,28,18,0,-963,32,-206,-739,49,104,-962,38,-206,-885,43,153,0,15,1964,3766,live,unknown
566330642,18545,1,28,19,0,-963,39,-197,-909,-24,189,-965,39,-191,-769,-165,214,0,15,509,4078,live,unknown
566350135,19493,1,28,20,0,-965,39,-192,-616,-226,226,-962,35,-194,-531,-238,232,0,15,2,3331,live,unknown
566370135,20000,1,28,21,0,-962,28,-195,-354,-269,208,-963,25,-197,-214,-256,171,0,15,2,2136,live,unknown
566390134,19999,1,28,22,0,-971,38,-188,-165,-104,128,-963,25,-197,-214,-256,171,0,3,1,8151,live,unknown
566413024,22890,1,28,23,0,-980,54,-181,-134,-177,140,-981,57,-186,-128,-250,183,0,15,2891,6088,live,unknown
566434127,21103,1,28,24,0,-982,58,-192,-140,-250,214,-980,56,-193,-146,-262,232,0,15,3994,3786,live,unknown
566453038,18911,1,28,25,0,-977,50,-195,-110,-244,244,-975,46,-193,-140,-171,226,0,15,2905,3635,live,unknown
566471731,18693,1,28,26,0,-977,45,-189,-140,-195,226,-979,46,-192,-140,-189,201,0,15,1598,3782,live,unknown
566490635,18904,1,28,27,0,-977,51,-193,-67,-195,171,-972,56,-191,37,-208,165,0,15,502,3639,live,unknown
566510135,19500,1,28,28,0,-968,57,-188,79,-165,159,-970,49,-174,43,-104,128,0,15,2,2926,live,unknown
