time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
573332412,0,1,29,0,0,-992,77,-122,1190,-458,-1135,-990,91,-109,696,-458,-1111,0,15,2,5036,live,unknown
573352411,19999,1,29,1,0,-982,97,-104,452,-549,-1044,-974,91,-109,439,-702,-848,0,15,1,3837,live,unknown
573372411,20000,1,29,2,0,-970,70,-124,458,-842,-659,-969,50,-138,507,-800,-568,0,15,1,2640,live,unknown
573392411,20000,1,29,3,0,-972,40,-141,549,-580,-476,-977,36,-132,482,-372,-397,0,15,1,1376,live,unknown
573412412,20001,1,29,4,0,-983,46,-115,201,-342,-256,-977,36,-132,482,-372,-397,0,3,2,8104,live,unknown
573435011,22599,1,29,5,0,-989,54,-126,31,-537,-226,-992,50,-132,43,-580,-244,0,15,2601,5786,live,unknown
573455538,20527,1,29,6,0,-990,40,-128,275,-708,-281,-982,35,-122,433,-739,-311,0,15,3128,4057,live,unknown
573474548,19010,1,29,7,0,-980,33,-117,421,-659,-287,-977,29,-109,323,-677,-293,0,15,2138,3732,live,unknown
573493138,18590,1,29,8,0,-974,25,-100,287,-824,-342,-974,33,-100,409,-1013,-391,0,15,728,3940,live,unknown
573512412,19274,1,29,9,0,-973,45,-113,433,-1062,-409,-970,44,-111,183,-1007,-421,0,15,2,3470,live,unknown
573532412,20000,1,29,10,0,-965,34,-90,-49,-1062,-427,-968,26,-101,-73,-1038,-446,0,15,2,2271,live,unknown
573552412,20000,1,29,11,0,-979,21,-140,568,-281,-287,-990,18,-133,-73,-1038,-446,0,7,2,8059,live,unknown
573575337,22925,1,29,12,0,-1009,36,-106,-31,-787,-128,-1007,42,-123,-195,-714,-208,0,15,2927,6190,live,unknown
573596836,21499,1,29,13,0,-1003,36,-125,-171,-562,-281,-1005,31,-126,-159,-555,-250,0,15,4426,3438,live,unknown
573615740,18904,1,29,14,0,-1011,39,-132,-342,-439,-6,-1010,43,-131,-623,-183,287,0,15,3330,3333,live,unknown
573634117,18377,1,29,15,0,-998,32,-116,-684,-140,281,-986,24,-105,-568,-299,122,0,15,1707,3754,live,unknown
573652915,18798,1,29,16,0,-983,24,-110,-574,-317,37,-987,29,-120,-647,-146,79,0,15,505,3646,live,unknown
573672411,19496,1,29,17,0,-993,36,-119,-659,-31,183,-994,44,-116,-647,-24,232,0,15,1,3004,live,unknown
573692457,20046,1,29,18,0,-993,57,-116,-677,-18,232,-993,68,-117,-751,37,287,0,15,47,1703,live,unknown
573712412,19955,1,29,19,0,-987,64,-117,-830,128,439,-993,68,-117,-751,37,287,0,3,2,8094,live,unknown
573734715,22303,1,29,20,0,-980,50,-115,-751,183,415,-979,48,-114,-677,208,427,0,15,2305,6401,live,unknown
573755915,21200,1,29,21,0,-978,41,-102,-714,195,409,-979,30,-84,-647,110,317,0,15,3505,3958,live,unknown
573774415,18500,1,29,22,0,-982,31,-105,-537,92,189,-981,34,-130,-348,482,183,0,15,2005,4258,live,unknown
573793215,18800,1,29,23,0,-979,21,-93,-171,592,177,-988,20,-68,-208,134,134,0,15,805,4132,live,unknown
573812411,19196,1,29,24,0,-993,33,-92,-238,43,116,-992,36,-108,-98,317,92,0,15,1,3728,live,unknown
573832412,20001,1,29,25,0,-996,32,-110,37,433,73,-1001,35,-109,85,409,37,0,15,2,2528,live,unknown
573852411,19999,1,29,26,0,-1002,41,-107,122,391,18,-1002,46,-106,85,409,37,0,7,1,8150,live,unknown
573874753,22342,1,29,27,0,-1002,47,-107,189,354,-37,-1002,47,-112,195,354,-122,0,15,2343,7197,live,unknown
573896933,22180,1,29,28,0,-1000,49,-114,110,415,-165,-997,46,-110,6,470,-171,0,15,4523,3774,live,unknown
573915545,18612,1,29,29,0,-993,39,-105,-55,470,-183,-989,36,-106,-92,482,-189,0,15,3135,3962,live,unknown
573934518,18973,1,29,30,0,-986,38,-111,-110,519,-165,-984,42,-116,-146,549,-146,0,15,2108,3623,live,unknown
573953318,18800,1,29,31,0,-983,45,-119,-208,562,-110,-981,45,-118,-214,537,-73,0,15,908,3623,live,unknown
573972411,19093,1,29,32,0,-978,45,-117,-201,531,-49,-976,43,-117,-189,543,-43,0,15,1,3291,live,unknown
573992411,20000,1,29,33,0,-975,42,-121,-165,543,-37,-974,44,-125,-189,543,0,0,15,1,2092,live,unknown
574012412,20001,1,29,34,0,-974,52,-131,-183,574,116,-974,44,-125,-189,543,0,0,3,2,8088,live,unknown
574035035,22623,1,29,35,0,-975,50,-134,-159,604,232,-977,50,-135,-159,610,287,0,15,2625,6413,live,unknown
574056315,21280,1,29,36,0,-978,49,-136,-226,610,323,-979,50,-137,-269,610,348,0,15,3905,3877,live,unknown
